eps_key,sigma_omega,ang_err_pw,ang_err_zo
x10,630.9573445,0.9847805694,0.01847547936
x10,794.3282347,0.9901713106,0.01852076769
x10,1000,0.9888988439,0.01819859271
x30,0.1,5.893117528e-06,0.01629286223
x30,0.1258925412,1.848295471e-07,0.01631442839
x30,0.1584893192,1.249231718e-05,0.01630518641
x30,0.1995262315,1.616477785e-05,0.01635360983
x30,0.2511886432,2.024778826e-05,0.01631617699
x30,0.316227766,0.0002461236318,0.0173031312
x30,0.3981071706,0.0002312345346,0.0164785527
x30,0.5011872336,0.0003796646208,0.0168522195
x30,0.6309573445,0.0002981923934,0.01777116392
x30,0.7943282347,0.0008325516698,0.01474213295
x30,1,0.007690228259,0.04041357267
x30,1.258925412,0.006902839631,0.02222069985
x30,1.584893192,0.01146705379,0.02756093289
x30,1.995262315,0.02642747104,0.02393197042
x30,2.511886432,0.08276552322,0.0539982705
x30,3.16227766,0.1127384025,0.03824108403
x30,3.981071706,0.1780434016,0.03557252569
x30,5.011872336,0.2715222964,0.03546855473
x30,6.309573445,0.3665485598,0.03613174209
x30,7.943282347,0.4611003906,0.03598784998
x30,10,0.5592032351,0.03532317728
x30,12.58925412,0.6396652099,0.03531994006
x30,15.84893192,0.7169370667,0.03601414257
x30,19.95262315,0.7776312372,0.03615594429
x30,25.11886432,0.8146928988,0.03621254265
x30,31.6227766,0.8531446463,0.03617742197
x30,39.81071706,0.878055423,0.03707663393
x30,50.11872336,0.9146304658,0.03570806356
x30,63.09573445,0.9242145202,0.03559724602
x30,79.43282347,0.9456459946,0.03581582102
x30,100,0.9620581495,0.03549084372
x30,125.8925412,0.9686433903,0.03600407144
x30,158.4893192,0.9828258021,0.03501878978
x30,199.5262315,0.9686906687,0.03660231398
x30,251.1886432,0.9952383335,0.03563062787
x30,316.227766,0.9921528416,0.03576893502
x30,398.1071706,0.9915493788,0.03558647305
x30,501.1872336,0.9971171482,0.03607762004
x30,630.9573445,0.9999432039,0.03577373548
x30,794.3282347,1.001950577,0.03665884637
x30,1000,0.9982519265,0.03526594724
x100,0.1,7.281533963e-06,0.01621584523
x100,0.1258925412,1.451376432e-05,0.01623826888
x100,0.1584893192,9.074312201e-05,0.0163815672
x100,0.1995262315,0.0002974782383,0.01701586428
x100,0.2511886432,2.681172388e-05,0.01608974191
x100,0.316227766,0.001890321073,0.02039363228
x100,0.3981071706,0.0009951094633,0.01799207592
x100,0.5011872336,0.001691440416,0.01979195999
x100,0.6309573445,0.0009537051287,0.01491741142
x100,0.7943282347,0.002285018361,0.01530930052
x100,1,0.02777257689,0.05766788674
x100,1.258925412,0.03171366765,0.05730518328
x100,1.584893192,0.03521211956,0.03254819147
x100,1.995262315,0.1942528216,0.111769121
x100,2.511886432,0.6460658541,0.4823877572
x100,3.16227766,0.6113525587,0.288957574
x100,3.981071706,0.6609728285,0.2624858885
x100,5.011872336,0.7337213681,0.2646728722
x100,6.309573445,0.7769025993,0.2662064477
x100,7.943282347,0.8200731752,0.2567614662
x100,10,0.8601948903,0.2584749622
x100,12.58925412,0.8839565307,0.2600767153
x100,15.84893192,0.9195991095,0.2600188041
x100,19.95262315,0.933986005,0.2650532251
x100,25.11886432,0.9430146045,0.2631395799
x100,31.6227766,0.9567385778,0.2631631791
x100,39.81071706,0.9592399188,0.2691419177
x100,50.11872336,0.9798999224,0.2614006721
x100,63.09573445,0.9747421168,0.2595781161
x100,79.43282347,0.9865920238,0.2640282622
x100,100,0.9945522141,0.2621702617
x100,125.8925412,0.9943512656,0.2614737762
x100,158.4893192,1.002775047,0.2561851514
x100,199.5262315,0.985047915,0.2666541745
x100,251.1886432,1.008219281,0.2701217014
x100,316.227766,1.003098065,0.2655542441
x100,398.1071706,0.999656616,0.2561323178
x100,501.1872336,1.003741581,0.2654549892
x100,630.9573445,1.005214056,0.2582519272
x100,794.3282347,1.006249097,0.2612803069
