d,sigma,omega,log_ratio_zo_over_pw,c_star
1,0.0817755775677422,73.83217516953168,-3.565207504290867,1.2013877434506741
1,0.0817755775677422,99.68285458470345,-4.165205959961612,1.2013877434506741
1,0.0817755775677422,134.58456933361077,-4.765497396298094,1.2013877434506741
1,0.0817755775677422,181.70633634214732,-5.365205006694509,1.2013877434506741
1,0.0817755775677422,245.3267327032263,-5.9636819658121345,1.2013877434506741
1,0.0817755775677422,331.2223832718382,-6.56672768865452,1.2013877434506741
1,0.0817755775677422,447.1924684742427,-7.1628526621734805,1.2013877434506741
1,0.0817755775677422,603.766876757117,-7.764376619988456,1.2013877434506741
1,0.0817755775677422,815.1623007265384,-8.367019041600882,1.2013877434506741
1,0.0817755775677422,1100.5730888961868,-8.96620860522155,1.2013877434506741
1,0.0817755775677422,1485.9140602097523,-9.565435041010968,1.2013877434506741
1,0.0817755775677422,2006.1735259613445,-10.167851306687863,1.2013877434506741
1,0.11040746109061289,0.1,9.464767490856655,1.2013877434506741
1,0.11040746109061289,0.13501275609964633,8.703656309312255,1.2013877434506741
1,0.11040746109061289,0.18228444309622582,8.28085926549912,1.2013877434506741
1,0.11040746109061289,0.24610725056510596,7.843332742610906,1.2013877434506741
1,0.11040746109061289,0.33227618194901193,7.554634684090765,1.2013877434506741
1,0.11040746109061289,0.4486152311120365,6.935276558115267,1.2013877434506741
1,0.11040746109061289,0.6056877878071585,6.072057240171252,1.2013877434506741
1,0.11040746109061289,0.8177557756774221,5.7396531073382695,1.2013877434506741
1,0.11040746109061289,1.1040746109061288,4.764815217047196,1.2013877434506741
1,0.11040746109061289,1.4906415615808106,3.9900389813073147,1.2013877434506741
1,0.11040746109061289,2.012556255857059,3.9166080784181707,1.2013877434506741
1,0.11040746109061289,2.717207669088465,3.109345592114026,1.2013877434506741
1,0.11040746109061289,3.6685769629872937,2.666532832200165,1.2013877434506741
1,0.11040746109061289,4.953046867365847,1.789781228490388,1.2013877434506741
1,0.11040746109061289,6.687245086537825,1.356496560718993,1.2013877434506741
1,0.11040746109061289,9.028633898472895,0.5025810572103945,1.2013877434506741
1,0.11040746109061289,12.189807464475196,-0.3067405627674123,1.2013877434506741
1,0.11040746109061289,16.457795021028378,-1.0302545571532606,1.2013877434506741
1,0.11040746109061289,22.22012265112078,-1.7476407878361933,1.2013877434506741
