V,V_lo,arm,bank,max_clamp,n_clamped,pre_tanh_mu_absmed,pre_tanh_sigma_med,sat95,seed,task
0.578303116751536,0.5783185572976074,WML05,neutral,0.0,0,2.3405927419662476,5.947535514831543,0.774726509324281,303,walker
0.5887939141980727,0.5888314223190586,WML05,pw_rollout,0.0,0,2.134065628051758,5.3757734298706055,0.7665254940295356,303,walker
0.5824183289933923,0.5824334138112542,WML05,wml_rollout,0.0,0,2.3193267583847046,6.8758864402771,0.7644220224363631,303,walker
0.644786389818347,0.6447995351576707,WML05,neutral,0.0,0,2.7996209859848022,8.671691417694092,0.7999089158294053,304,walker
0.6968149045144213,0.6968585105023892,WML05,pw_rollout,0.0,0,3.175519347190857,11.68886137008667,0.8458360565098546,304,walker
0.5847530525238052,0.5847690284085346,WML05,wml_rollout,0.0,0,2.5369077920913696,6.323700428009033,0.7498294596116195,304,walker
0.6691526601866951,0.6691778177170795,WML05,neutral,0.0,0,2.3180352449417114,10.9482421875,0.8093162405079186,305,walker
0.6538925432757838,0.6539170234261484,WML05,pw_rollout,0.0,0,2.083302855491638,8.854926109313965,0.7903930467842195,305,walker
0.5876447073341177,0.5876487955442509,WML05,wml_rollout,0.0,0,2.162411332130432,6.980963945388794,0.7489939796184429,305,walker
0.541820166156882,0.5418138491722355,WML05,neutral,0.0,0,2.166812539100647,4.450914621353149,0.7416199174536902,306,walker
0.49704835429438315,0.4970487421920947,WML05,pw_rollout,0.0,0,2.001640200614929,3.0747811794281006,0.6951933564359815,306,walker
0.46826726109965605,0.46825939758028046,WML05,wml_rollout,0.0,0,2.1297013759613037,3.048885941505432,0.6932606859188459,306,walker
0.5271819291011732,0.5271808177999527,WML05,neutral,0.0,0,2.263155937194824,3.8256243467330933,0.729366117739273,307,walker
0.48609287919273103,0.48610109691871156,WML05,pw_rollout,0.0,0,2.1278125047683716,3.171944499015808,0.7061197432557448,307,walker
0.48585256909305524,0.48585732814206,WML05,wml_rollout,0.0,0,1.941070795059204,3.0353649854660034,0.6672159493300084,307,walker
0.7241951539369524,0.7242696319857888,WML05,neutral,0.0,0,2.3525725603103638,20.07155132293701,0.8439710477576358,308,walker
0.8223367033310852,0.8224404532963417,WML05,pw_rollout,0.0,0,2.652178645133972,42.508338928222656,0.9048157769942407,308,walker
0.6987945588587241,0.6988656428141177,WML05,wml_rollout,0.0,0,2.1303943395614624,16.75960636138916,0.8061904584161879,308,walker
0.2506835714989701,0.2506811299843821,WML01,neutral,0.0,0,1.7674890160560608,0.7345699667930603,0.5549327408076152,301,walker
0.20093311877149428,0.200929716394157,WML01,pw_rollout,0.0,0,1.6327368021011353,0.5034775137901306,0.5103274552241742,301,walker
0.30753375866885474,0.3075285585013057,WML01,wml_rollout,0.0,0,1.9590924978256226,1.049747109413147,0.6109659767133065,301,walker
0.3447382934176746,0.34473669842189875,WML01,neutral,0.0,0,1.8875435590744019,1.3297821283340454,0.6154169795694531,302,walker
0.2550772678741375,0.2550759270209331,WML01,pw_rollout,0.0,0,1.708753526210785,0.8146312534809113,0.5485751611821306,302,walker
0.3443556274448778,0.3443523362264439,WML01,wml_rollout,0.0,0,1.7296521663665771,1.3201844096183777,0.5834392283013164,302,walker
0.3003699644296489,0.30036827541607164,WML01,neutral,0.0,0,1.6376867294311523,0.9447275400161743,0.5583305516194402,303,walker
0.1976042508569521,0.1976049941833081,WML01,pw_rollout,0.0,0,1.4981269240379333,0.5063759982585907,0.4795737949573944,303,walker
0.3553387730030899,0.35533572026797194,WML01,wml_rollout,0.0,0,1.7895474433898926,1.3123766779899597,0.6047374014352394,303,walker
0.4625499437859512,0.46254731017657996,WML01,neutral,0.0,0,1.9078304171562195,2.3213090896606445,0.6891396735599638,304,walker
0.4212739682638711,0.4212702576041997,WML01,pw_rollout,0.0,0,1.9116902351379395,1.7844635248184204,0.678351951416405,304,walker
0.48951397024132937,0.4895148105552021,WML01,wml_rollout,0.0,0,1.874376893043518,2.784174680709839,0.6915962886370531,304,walker
0.2855336129958656,0.28553195002282306,WML01,neutral,0.0,0,1.796839952468872,0.8675747215747833,0.5843473697591703,305,walker
