C_mu,C_sigma,F_AA,F_AB,F_BA,F_BB,metric,pair,resid,seed,task,total
-0.10277939367932659,0.038626558546615064,0.38894073606772966,0.34180176520628297,0.4832077174322246,0.4530935712004412,sat95,WML05_vs_PW,0.0,304,g1,-0.06415283513271153
0.006882020394517609,0.07071780623047949,0.09977715255508149,0.028623789086920454,0.09245957492288234,0.022177325930084382,variance,WML05_vs_PW,1.3877787807814457e-17,305,g1,0.0775998266249971
-0.05597200039778791,0.0200888093223979,0.3463020142244743,0.32470169049240816,0.40076250021259396,0.38218520529986433,sat95,WML05_vs_PW,0.0,305,g1,-0.03588319107539001
-0.0007355665046127925,0.21051100337264883,0.23668192052949313,0.030908261981286916,0.24215483185854855,0.026906483661457082,variance,WML05_vs_PW,0.0,306,g1,0.20977543686803604
0.01018638668635996,0.07212332428067719,0.46940378734376526,0.4009905604402023,0.46292749803451955,0.3870940763767281,sat95,WML05_vs_PW,0.0,306,g1,0.08230971096703715
0.02235688103537616,0.07353634909162013,0.13037760094578318,0.057503757274037656,0.10868322533028163,0.03448437081878689,variance,WML05_vs_PW,1.3877787807814457e-17,307,g1,0.0958932301269963
-0.12060315423507986,0.021506564791799493,0.3556363975862815,0.33127487546105944,0.4733845944879388,0.4547329870295619,sat95,WML05_vs_PW,0.0,307,g1,-0.09909658944328037
0.005795061290167125,0.10038040542525317,0.13084627258612028,0.029347477572842603,0.12393282170792864,0.024670805870699985,variance,WML05_vs_PW,-1.3877787807814457e-17,308,g1,0.10617546671542029
-0.0477671843506606,0.03224935988263497,0.33025365622925856,0.29664402531538425,0.3766605695486798,0.3457714806972842,sat95,WML05_vs_PW,0.0,308,g1,-0.015517824468025632
-0.0122511633697798,-0.05647078666714776,0.0708816879700868,0.1395999522248319,0.09538032892746394,0.13960363800701436,variance,WML01_vs_WML05,0.0,301,g1,-0.06872195003692756
0.10156501466151782,-0.01713374948626803,0.4219206332142688,0.44281698801963226,0.3241182238718464,0.337489368039019,sat95,WML01_vs_WML05,0.0,301,g1,0.08443126517524979
-0.011346584958482613,-0.07018929772095703,0.0475788527829335,0.12505846612869437,0.06621575336621995,0.12911473546237315,variance,WML01_vs_WML05,0.0,302,g1,-0.08153588267943965
0.07469324122979401,-0.016524836132224358,0.39155507742434786,0.4066493315303906,0.31543125416837225,0.3333866723267782,sat95,WML01_vs_WML05,0.0,302,g1,0.05816840509756965
0.01061723517633361,-0.10230069131961458,0.03436989878007187,0.15308711915545584,0.04016919265950764,0.12605335492335284,variance,WML01_vs_WML05,0.0,303,g1,-0.09168345614328097
-0.03032695561276802,-0.03461839496329974,0.30872223639476265,0.357689024890457,0.3533975855399253,0.3736675869708304,sat95,WML01_vs_WML05,0.0,303,g1,-0.06494535057606776
0.014599704407484503,-0.1436186549245606,0.04560632435640134,0.2068113596530434,0.04859300032099828,0.17462527487347745,variance,WML01_vs_WML05,-2.7755575615628914e-17,304,g1,-0.12901895051707613
-0.05282805340982319,-0.0564304179940269,0.2796822646638796,0.3541832888067966,0.3505809242225929,0.38894073606772966,sat95,WML01_vs_WML05,0.0,304,g1,-0.10925847140385009
0.007855716281153502,-0.062025558992738386,0.045607309843496605,0.12271796061798625,0.05283668534409436,0.09977715255508149,variance,WML01_vs_WML05,0.0,305,g1,-0.054169842711584884
-0.017708287818742507,-0.02190342013259533,0.3066903062731365,0.34032704750957793,0.3361319151957251,0.3463020142244743,sat95,WML01_vs_WML05,0.0,305,g1,-0.03961170795133784
0.018741008954932373,-0.20833350999685118,0.0470894194875743,0.2762909752023574,0.049216456250573824,0.23668192052949313,variance,WML01_vs_WML05,0.0,306,g1,-0.18959250104191883
-0.07664903193271683,-0.07676937121878397,0.31598538419226446,0.41168478109501955,0.4115644418089524,0.46940378734376526,sat95,WML01_vs_WML05,0.0,306,g1,-0.1534184031515008
0.003818612081274878,-0.0992599929488239,0.034936220078234166,0.14672178657412832,0.04364318154402955,0.13037760094578318,variance,WML01_vs_WML05,0.0,307,g1,-0.09544138086754902
0.004183256089150822,-0.03185309163494204,0.3279665620404903,0.36643198881399824,0.3303956410899054,0.3556363975862815,sat95,WML01_vs_WML05,0.0,307,g1,-0.02766983554579122
