V_N128,V_N64,abs_diff,arm,bank,flagged,rel_diff,seed,task
0.1004088215197734,0.10040881342575862,8.094014777859648e-09,WML05,wml_rollout,False,8.061059432179176e-08,305,g1
0.23668192052949313,0.23668193959686987,1.9067376733072905e-08,WML05,neutral,False,8.05611881567308e-08,306,g1
0.21299209356746024,0.21299201985553345,7.371192678462535e-08,WML05,pw_rollout,False,3.460782301821867e-07,306,g1
0.2473931606881465,0.24739319759267323,3.6904526712344676e-08,WML05,wml_rollout,False,1.4917359319752974e-07,306,g1
0.13037760094578318,0.1303776020950261,1.1492429230486323e-09,WML05,neutral,False,8.814726722318956e-09,307,g1
0.13646604476144022,0.13646605353284977,8.771409543140152e-09,WML05,pw_rollout,False,6.427539948471195e-08,307,g1
0.13032373471644806,0.13032373995452728,5.238079220371006e-09,WML05,wml_rollout,False,4.019282620903828e-08,307,g1
0.13084627258612028,0.1308462311967172,4.138940307152339e-08,WML05,neutral,False,3.1632084165241887e-07,308,g1
0.12421331359268342,0.124213339693859,2.6101175581993985e-08,WML05,pw_rollout,False,2.101318677286412e-07,308,g1
0.13941118951655726,0.13941109853766925,9.09788880065765e-08,WML05,wml_rollout,False,6.525938722857775e-07,308,g1
0.0708816879700868,0.07088169317781652,5.207729719680643e-09,WML01,neutral,False,7.34707350913876e-08,301,g1
0.06909018858724225,0.06909019371490531,5.127663058046572e-09,WML01,pw_rollout,False,7.421694979992301e-08,301,g1
0.06738822466556428,0.06738822597363425,1.3080699717837874e-09,WML01,wml_rollout,False,1.9410957600908837e-08,301,g1
0.0475788527829335,0.04757885279239372,9.460217331724863e-12,WML01,neutral,False,1.98832396713824e-10,302,g1
0.04880962181831215,0.04880962181020705,8.105099924549108e-12,WML01,pw_rollout,False,1.6605537233456453e-10,302,g1
0.046947632766569304,0.04694763278037545,1.3806143728256615e-11,WML01,wml_rollout,False,2.940753966638284e-10,302,g1
0.03436989878007187,0.03436989754091929,1.239152579157743e-09,WML01,neutral,False,3.6053425326821745e-08,303,g1
0.03694604564496255,0.03694604505724581,5.877167433276931e-10,WML01,pw_rollout,False,1.5907432935460196e-08,303,g1
0.033489461157908705,0.03348946026827641,8.896322983842353e-10,WML01,wml_rollout,False,2.6564545012816492e-08,303,g1
0.04560632435640134,0.045606317255533865,7.100867477349837e-09,WML01,neutral,False,1.5569918377675952e-07,304,g1
0.04529633522469127,0.04529635302257983,1.7797888558768182e-08,WML01,pw_rollout,False,3.929211595260903e-07,304,g1
0.046473838698144004,0.04647383123190258,7.466241423725872e-09,WML01,wml_rollout,False,1.6065471742544147e-07,304,g1
0.045607309843496605,0.04560730936449992,4.78996682595767e-10,WML01,neutral,False,1.0502629605636995e-08,305,g1
0.04900565652230422,0.049005656486674855,3.5629367511891274e-11,WML01,pw_rollout,False,7.270460195890872e-10,305,g1
0.04696596479679911,0.04696596474650709,5.029202054807058e-11,WML01,wml_rollout,False,1.0708184270388533e-09,305,g1
0.0470894194875743,0.047089369704156246,4.978341805461639e-08,WML01,neutral,False,1.057210273483048e-06,306,g1
0.0432693907137996,0.04326939125425453,5.404549308085649e-10,WML01,pw_rollout,False,1.2490467785491636e-08,306,g1
0.04683513871440469,0.04683511407459047,2.463981421674255e-08,WML01,wml_rollout,False,5.260967490027801e-07,306,g1
