task,seed,law,critic,eta_median,eta_min,eta_max,eta_at_lo,eta_at_hi,dual_gap_max,w_max_median,sigma_median,sigma_p95,sigma_min,sigma_max,sigma_across_states,sigma_across_coords,saturation,eta_saved
walker,305,A,PW,0.08063509315252304,0.006963782943785191,9.999990463256836,0.0,0.00015624999650754035,0.004608154296875,0.14276838302612305,0.5237413644790649,0.863777756690979,0.15302568674087524,23.41131591796875,0.15875379741191864,0.1047402173280716,0.017600098624825478,nan
walker,305,A,WML,0.3909338116645813,0.0006557399756275117,10.0,0.0,0.009726562537252903,0.10222053527832031,0.15864019095897675,0.5237413644790649,0.863777756690979,0.15302568674087524,23.41131591796875,0.15875379741191864,0.1047402173280716,0.017600098624825478,0.026909997686743736
walker,305,B,PW,0.4127979278564453,0.017584607005119324,10.0,0.0,0.007578124757856131,0.09238052368164062,0.12595534324645996,5.414716720581055,96.3318862915039,0.11523763835430145,71976.4921875,36.983951568603516,8.432106018066406,0.5941910743713379,nan
walker,305,B,WML,0.9084272384643555,0.0016551874577999115,10.0,0.0,0.045429687947034836,0.092315673828125,0.12814265489578247,5.414716720581055,96.3318862915039,0.11523763835430145,71976.4921875,36.983951568603516,8.432106018066406,0.5941910743713379,0.026909997686743736
walker,306,A,PW,0.07087691128253937,0.011287705041468143,4.520151615142822,0.0,0.0,3.0517578125e-05,0.1439099907875061,0.4940486252307892,0.7916035652160645,0.10597026348114014,3.2583889961242676,0.15438824892044067,0.09415134787559509,0.007328084670007229,nan
walker,306,A,WML,0.2323887050151825,0.00043953274143859744,10.0,0.0,0.014921874739229679,0.0734100341796875,0.15096426010131836,0.4940486252307892,0.7916035652160645,0.10597026348114014,3.2583889961242676,0.15438824892044067,0.09415134787559509,0.007328084670007229,0.03743883594870567
walker,306,B,PW,0.29746243357658386,0.01709740422666073,6.178398132324219,0.0,0.0,3.0517578125e-05,0.1279430091381073,3.1451587677001953,67.91193389892578,0.1323273777961731,2026.3955078125,54.29756546020508,4.5397844314575195,0.5353981852531433,nan
walker,306,B,WML,0.3421337902545929,0.0006857608095742762,10.0,0.0,0.03593749925494194,0.11107635498046875,0.12534861266613007,3.1451587677001953,67.91193389892578,0.1323273777961731,2026.3955078125,54.29756546020508,4.5397844314575195,0.5353981852531433,0.03743883594870567
walker,307,A,PW,0.08444930613040924,0.014547860249876976,4.976748943328857,0.0,0.0,3.0517578125e-05,0.1435280740261078,0.499077707529068,0.7970224618911743,0.11677301675081253,1.1520980596542358,0.15643668174743652,0.106866754591465,0.006754761096090078,nan
walker,307,A,WML,0.7179943323135376,0.00023296594736166298,9.730499267578125,0.0,0.0,1.9073486328125e-05,0.1561749279499054,0.499077707529068,0.7970224618911743,0.11677301675081253,1.1520980596542358,0.15643668174743652,0.106866754591465,0.006754761096090078,0.0495353639125824
walker,307,B,PW,0.3002699911594391,0.02244407683610916,8.120596885681152,0.0,0.0,3.0517578125e-05,0.13033780455589294,3.4724466800689697,72.38856506347656,0.16981422901153564,1013.386962890625,39.63528060913086,3.8060145378112793,0.4882000982761383,nan
walker,307,B,WML,1.3613470792770386,0.0016429568640887737,10.0,0.0,0.016523437574505806,0.04732513427734375,0.13600006699562073,3.4724466800689697,72.38856506347656,0.16981422901153564,1013.386962890625,39.63528060913086,3.8060145378112793,0.4882000982761383,0.0495353639125824
