dir,env_name,actor_update_mode,seed,seed_index,action_dim,action_pad,obs_dim,critic_obs_dim,estep_num_samples,eps_e,alpha_entropy,alpha_kl,gamma,lmbda,time_steps,iteration,checkpoint_frac,final_eval_return,ess_final,ess_degenerate,nan_in_eval,normalize_env,train_seconds,hydra_run_dir,files_present,n_missing,bytes_total,mtime_utc,sha256_actor,sha256_critic,sha256_meta,sha256_normalizer,present_in,sha256_agreement,fields_differing
exports/G1JoystickFlatTerrain_pathwise_fa_s307_final,G1JoystickFlatTerrain,pathwise,307,0,29,0,103,103,32,0.5,0.00020752238924615085,0.0044192178174853325,0.97,0.95,52297728,399,1.0,30.37877082824707,0.0,False,False,True,2557.7499830609886,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s307,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396660,2026-09-02T03:22:25Z,b46c40acae7893b52d4cbaa77657b6909e5d7d70235ef90a9629042d8d2346e1,2b89adccf8b77ff5db777478a20f3e5e94eeed7e675742c7cfcde11b218e44fc,7604cab8e4e2fbed43346adf799aabc41269b5b85529861eae867675e24598d4,5cbfccba8d9e256c36ff9868049f9d11d2aaac0f913918c90e6d842b4222057f,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_fa_s308_final,G1JoystickFlatTerrain,pathwise,308,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004293057601898909,0.97,0.95,52297728,399,1.0,31.427305221557617,0.0,False,False,True,2446.302840979013,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s308,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396633,2026-09-02T08:37:02Z,7106af271e3980fbfe5b8efc04ee81563e00421d69529f7a061fc99f7594137b,eb53b31536b31c6e97a6310b0e581f5ef1198e37f2f8853bcc88c92f849054e7,8b4a1ecf0362221b65f3bbb2862da1d508cb3c29a34c1a31358078b4946f7e57,08293cacc9419dce7fddcb2e48b8ca84c551b611f5e2ca007a48902dcb84a0f3,claix,single-source,
exports/G1JoystickFlatTerrain_pathwise_s0_final,G1JoystickFlatTerrain,pathwise,0,0,29,,103,103,32,0.5,0.00022081754286773503,0.004117770120501518,0.97,0.95,52297728,399,1.0,32.903114318847656,0.0,False,False,True,3041.5548603180214,/home/human/workspaces/reppo_original/outputs/2026-08-29/22-25-28,actor.npz|critic.npz|meta.json|normalizer.npz,0,19391661,2026-08-29T23:16:22Z,6bf230aaffccf0de5fc5415f231ff86bd5491681f67cfca008a711f176a4e8a0,da3470fbf8454130526b25e55d0f378580a593421800cd527f78779ceec4d7d0,19f8abe987f4c1a1946abccbff6a85a63a975416aa58992611f411d84de539d0,3aa56bf2a7465f089ceef07df2686e00b0a7a82232eff1ff048fddc4f5f62c40,workstation,single-source,
exports/G1JoystickFlatTerrain_pathwise_s901_final,G1JoystickFlatTerrain,pathwise,901,0,29,0,103,103,32,0.5,0.0002271399716846645,0.0044553098268806934,0.97,0.95,52297728,399,1.0,32.61233139038086,0.0,False,False,True,3086.944036958972,/home/human/workspaces/reppo_original/outputs/manual/rerun901-g1,actor.npz|critic.npz|meta.json|normalizer.npz,0,19397562,2026-08-31T23:17:06Z,ae9b6530f337b231df510a1e4e92c51c39e65e03a7e3246dbff021e38ad77753,582b4119cf1795413e7cb8d8efce84314043fd261c7c74914ea0a60bc38ae525,de584e021971ade2dd98c06b8cbe03240ff04a7c78ae8a5684b1331d92bd9621,710e4f1a27d5ba3db07ca63bd8b0a820dc2c13a0205ee28b90b5011e8660181f,workstation,single-source,
exports/G1JoystickFlatTerrain_pathwise_s901orig_final,G1JoystickFlatTerrain,pathwise,901,0,29,0,103,103,32,0.5,0.00020788784604519606,0.004243381787091494,0.97,0.95,52297728,399,1.0,32.153907775878906,0.0,False,False,True,3111.5271785919904,/home/human/workspaces/reppo_original/outputs/2026-08-31/16-07-00,actor.npz|critic.npz|meta.json|normalizer.npz,0,19391692,2026-08-31T21:56:18Z,ebae11fd033047626999067077a7905a139d30b20036d7423d91640ae064547f,0c2b7c3b35f3b6f1a0a6bd3d1d237a21f009dcfa1dc0e40fbc416de4e91201dc,02bfe67002eb15479618e87ff4dfdec1db657991842ca418a90232e2a2e589bb,28c5d7b9b54b2dc3c94551896de64510e37998dd7d4a049e3554fba6f7083691,workstation,single-source,
exports/G1JoystickFlatTerrain_weighted_mle_s0_final,G1JoystickFlatTerrain,weighted_mle,0,0,29,0,103,103,32,0.5,0.00023000007786322385,0.41120967268943787,0.97,0.95,52297728,399,1.0,26.792356491088867,18.952545166015625,False,False,True,5944.896837130014,/home/human/workspaces/reppo_original/outputs/2026-08-30/14-43-21,actor.npz|critic.npz|meta.json|normalizer.npz,0,19394528,2026-08-30T16:22:36Z,07119712e96131a2539b245c4cfd1c3f91cd867fb1489163f8228027fb78a523,d1919496e09108054fe720ce9754c10b5edf9bb564e9055e0e2c663a48dbbe53,4412b950e260ddb58c8f4338f168a67ace2260185f1dc2e45e8cba98492d691f,54e9729ba00c895dcd79c2c3f38e68238e5e6827f33b7c3f6289fca710ec6808,workstation,single-source,
exports/G1JoystickFlatTerrain_weighted_mle_s101_final,G1JoystickFlatTerrain,weighted_mle,101,0,29,0,103,103,32,0.5,0.00020752238924615085,0.5056033134460449,0.97,0.95,52297728,399,1.0,9.402726173400879,18.947811126708984,False,False,True,3826.171453531002,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_B_s101,actor.npz|critic.npz|meta.json|normalizer.npz,0,19399430,2026-09-01T10:57:43Z,1cc0c1df455d4c22ad376a7d5b736e7243618416bf33d044b75a19a6f38ac997,ab9c8ffe2bee6f2b8493ef398b0859017206cc46775ec78e8f370fb26a438a41,3b48c720b07a552d5e3fe01f55a00df2f574b4d0f351ffe32f7f9cbe303343ef,818177ca073394d6e38defe79ef9798a471cd643d19e82c162a342775b089858,claix,single-source,
exports/G1JoystickFlatTerrain_weighted_mle_s102_final,G1JoystickFlatTerrain,weighted_mle,102,0,29,0,103,103,32,0.5,0.00020752238924615085,0.5706496238708496,0.97,0.95,52297728,399,1.0,18.405454635620117,18.336584091186523,False,False,True,3829.636054349001,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_B_s102,actor.npz|critic.npz|meta.json|normalizer.npz,0,19399453,2026-09-01T11:07:33Z,9fcb872f2d8d5ac4f797fe6c0359852b547f4debe53aaeab096a2e17cf5209ab,5a40b2b18501a26ea51691bc457d73580e78aab12b02d32bb32f6cf18d5405fd,2d7cc17b3c9253a3d0e870150acd205fbc143c2a2e1fe640d3ec60e0acf56c65,c49186b120a77ee654203abec621220e3f3abc2736b11145a3839628689f75e3,claix,single-source,
exports/G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,0,29,0,103,103,32,0.5,0.00020752238924615085,0.49293452501296997,0.97,0.95,52297728,399,1.0,14.692596435546875,18.846445083618164,False,False,True,3828.900318315995,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_B_s103,actor.npz|critic.npz|meta.json|normalizer.npz,0,19399468,2026-09-01T11:14:07Z,9f73fb5cec320ab46efae531af79cf02614ca61eb5921a184d10266c45009a4e,62c6fa425b91508a2aeeaee2ad574b7235219b6011adc6390695cab087acc8d7,9773984e1b7ca72197ff87041a0eb3ca452bbb4f06f8d0425c7312d053d8bc53,c3ec6a3a4fdfa7fb787758102a9b7573d466136071b730d9a9cfc2727437dc07,claix,single-source,
exports/G1JoystickFlatTerrain_weighted_mle_s104_final,G1JoystickFlatTerrain,weighted_mle,104,0,29,0,103,103,32,0.5,0.00020752238924615085,0.550157368183136,0.97,0.95,52297728,399,1.0,10.967278480529785,19.628013610839844,False,False,True,3825.9104523999995,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_B_s104,actor.npz|critic.npz|meta.json|normalizer.npz,0,19399468,2026-09-01T11:22:55Z,fedfd4cc7f7ee5bb90110f7fc30a9661f8a0cab29c3210959ef247772031f927,17828524b9cc77fa0fe2528ca185eeb77ac69f4a0d8fd260a6c4f980c93ae807,fc48f4ce4dfe16a062f5f4e74c8aed34ec9a01c8eb72cefdcb00eb3cc70de9b0,6838968276ef8a4f57b5585b718a7840dfecbf2424ffaeb576f91ecc6ee2734a,claix,single-source,
exports/G1JoystickFlatTerrain_weighted_mle_s105_final,G1JoystickFlatTerrain,weighted_mle,105,0,29,0,103,103,32,0.5,0.00020752238924615085,0.4959206283092499,0.97,0.95,52297728,399,1.0,15.973441123962402,20.28453826904297,False,False,True,3821.4585666990024,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_B_s105,actor.npz|critic.npz|meta.json|normalizer.npz,0,19399485,2026-09-01T11:42:17Z,93c1bc5d77041a70bd76c701643e3314183923030958ad3ec37ec3ae068697dc,01bee1da8ae9638891e109fe024efb76d3b6d1dfcbe99320d94b4b5ab90f3b02,0055805b3a384edbf1b6226d2a1361bdd6b51a7067ac0d3b0a032c17dea008dd,5270e885a23b1259ce3f388197e84560873d4524c6ea1aa6bd158db146ec06c1,claix,single-source,
