tag,env,mode,seed,d,eta,eta_src,logged_return,reload_return,n_pw1,n_pw32,n_zo32,n_c,n_v,n_ubar,cos_pw1_pw32,cos_pw32_zo32,cos_zo32_c,cos_c_v,cos_pw32_v,cos_pw1_v,R2_ubar_c,task,arm
WalkerRun_pathwise_fa_s301_final,WalkerRun,pathwise,301,6,5.099492870782826,recomputed_placeholder,911.151123046875,876.5616819149494,0.0801285738477561,0.06602193628050837,0.07285886730567606,0.014185276364596227,0.42092066893745406,0.42042502677730786,0.7429492549907556,0.88912372569523,0.9999765648292366,-0.04005627898729119,-0.04601251023832666,-0.012824830871390358,14.280526948024029,walker,PW-1
WalkerRun_pathwise_fa_s302_final,WalkerRun,pathwise,302,6,6.994569477884208,recomputed_placeholder,899.4186401367188,872.5567247305901,0.1371191350226969,0.1035732858419485,0.10809439266460427,0.015302571923837452,0.4187663603234052,0.41818120360954736,0.7592607496618506,0.8871678295263528,0.9999343144419917,-0.023829312537609372,-0.027325033487385714,-0.004033940419866439,11.872786168684286,walker,PW-1
WalkerRun_pathwise_fa_s303_final,WalkerRun,pathwise,303,6,6.349203030259798,recomputed_placeholder,907.067626953125,873.6693566920449,0.10377674976777143,0.08799385870417761,0.09156357616518034,0.01462499007096505,0.4117416258600315,0.41154116626342274,0.7247337839883634,0.8814241483963712,0.9999555382065834,-0.06516480900786377,-0.0851825390670254,-0.05021239588885888,10.84729585702974,walker,PW-1
WalkerRun_pathwise_fa_s304_final,WalkerRun,pathwise,304,6,5.616568543713662,recomputed_placeholder,910.3604736328125,879.6371820541789,0.09395661112909441,0.07780998477743287,0.08187338533003627,0.01437883372064469,0.42006026250787254,0.4200108445595242,0.7735545398763317,0.8863533539588487,0.9999665621942547,-0.04312058483297614,-0.05920777886758237,-0.026975427780482973,15.170924146060882,walker,PW-1
WalkerRun_pathwise_fa_s305_final,WalkerRun,pathwise,305,6,6.660692150715105,recomputed_placeholder,908.5802612304688,878.0390005988505,0.10697568269525207,0.08748596039888501,0.09487394293847148,0.013978912722002135,0.4147176155337148,0.4151357447293672,0.7584408567119596,0.8809119357472809,0.9999604836202841,-0.01877877252756246,-0.03414347585180457,-0.011154829984069704,17.678614823734367,walker,PW-1
WalkerRun_pathwise_fa_s306_final,WalkerRun,pathwise,306,6,5.574493045259556,recomputed_placeholder,908.729248046875,873.7766342807874,0.12292064368124037,0.1041212656507823,0.11192863962853675,0.01921446756436169,0.41457031599638255,0.41369762124025466,0.7514730475390825,0.892175805369795,0.999921066824581,-0.007587784091020325,-0.011333664339054746,-0.0023148094747557474,10.800321301618215,walker,PW-1
WalkerRun_pathwise_fa_s307_final,WalkerRun,pathwise,307,6,5.496188638176885,recomputed_placeholder,915.124267578125,878.3641470697925,0.10812655013422151,0.08195129135923016,0.08503535485939304,0.015414809131112534,0.4108836722861921,0.41126708300497405,0.7425741313938543,0.8848754407100485,0.9999658952966434,-0.06454912229969714,-0.05953066325619344,-0.04515348355259878,13.526202847613373,walker,PW-1
WalkerRun_pathwise_fa_s308_final,WalkerRun,pathwise,308,6,8.17218825404358,recomputed_placeholder,914.101806640625,886.0160674227877,0.12208095460553808,0.1127101666223013,0.11380103610506699,0.013682305654388318,0.4203582559706053,0.41809970255561285,0.7639945433362252,0.889077652772679,0.9998912509052529,-0.054605885130456416,-0.06139268544361126,-0.038912304003050194,9.811505214278473,walker,PW-1
WalkerRun_weighted_mle_s301_final,WalkerRun,weighted_mle,301,6,0.024808276444673538,measured,775.089111328125,779.0514615716543,0.662608128135054,0.46664050317995254,0.5078696806050857,1.1926924882822396,1.2805513989970079,0.4134180457874669,0.5469261559173895,0.8061868102627805,0.8310806401687495,0.8146320967033942,0.5458439935773658,0.35082543228114604,0.2940722265280271,walker,WML-32
WalkerRun_weighted_mle_s302_final,WalkerRun,weighted_mle,302,6,0.0426042303442955,measured,777.159912109375,755.9985298017864,0.5303618625655386,0.44168501873818544,0.45797259499797727,1.286921109512705,1.3486526430407169,0.41933077135725566,0.5358328464140067,0.8198571578484148,0.8233371724339744,0.869510029531478,0.596337562632475,0.41298752180735915,0.29391401365510833,walker,WML-32
WalkerRun_weighted_mle_s303_final,WalkerRun,weighted_mle,303,6,0.03785382956266403,measured,808.0831298828125,752.533192877447,0.9267995917429968,0.549015646154117,0.5788052942191855,1.0769704427491695,1.1804430803791264,0.4153287106645793,0.5366241259712002,0.7929004908388437,0.8670056971723086,0.7417835184559942,0.534803914083428,0.35737197254510583,0.3133855092011057,walker,WML-32
WalkerRun_weighted_mle_s304_final,WalkerRun,weighted_mle,304,6,0.024782558903098106,measured,655.4672241210938,640.2681080651982,0.3007975853665872,0.2321964741506707,0.2543901844784433,1.230572263726446,1.3032669093508256,0.4177197693206667,0.7225449823268018,0.8828376249059809,0.8716393328300589,0.8884670309285861,0.7090767779576995,0.5594874076985319,0.30635188127280627,walker,WML-32
WalkerRun_weighted_mle_s305_final,WalkerRun,weighted_mle,305,6,0.026909997686743736,measured,786.0338745117188,738.8085352885778,0.7440700077333955,0.5737057439311266,0.5597583034922246,1.1186208360178191,1.2387464923445721,0.4158780525588184,0.49721455066084097,0.7572686639955908,0.8421045154744287,0.7660385612156206,0.5208487598799815,0.35930632411369956,0.30502042983373845,walker,WML-32
WalkerRun_weighted_mle_s306_final,WalkerRun,weighted_mle,306,6,0.03743883594870567,measured,695.3661499023438,762.7516321349776,0.876459016136492,0.4878684200113706,0.4729306022723939,0.9735374993035141,1.1032628049238598,0.41887545960240463,0.48266934280333845,0.763918801056859,0.8780733352384815,0.7090307771027602,0.508225359368079,0.32748010913526676,0.33978639014818673,walker,WML-32
WalkerRun_weighted_mle_s307_final,WalkerRun,weighted_mle,307,6,0.0495353639125824,measured,895.3389892578125,845.9651401761654,1.2353108971264932,0.9398270736723444,0.8396676073525372,1.5589381885767626,1.620866132620113,0.4047580885129413,0.45118517078315834,0.7584150058621814,0.7366780009477845,0.8793840327738303,0.5296294648153892,0.3101512502996787,0.23760302220669435,walker,WML-32
WalkerRun_weighted_mle_s308_final,WalkerRun,weighted_mle,308,6,0.04261362925171852,measured,653.6845703125,623.664884315021,0.394145892423877,0.3262507406313228,0.3025398285140227,1.505024388300784,1.5278751931121972,0.4181059356068465,0.6174180149034473,0.8543727256003508,0.7709867743224116,0.9374557618550459,0.676498996893577,0.4829819790436538,0.2640804747273238,walker,WML-32
