task,arm,seed,rerun_sw3,canon_sw3,kl_mean,kl_width,kl_resid,kl_analytic
g1,WML,302,23.744787216186523,17.408456802368164,0.0939565896987915,0.0013663507997989655,5.895271897315979e-07,0.09717188775539398
g1,WML,303,11.978877067565918,14.528172492980957,0.0924811065196991,0.0019685178995132446,5.91157004237175e-07,0.09618878364562988
g1,WML,304,9.17745304107666,9.140506744384766,0.09324045479297638,0.0021826159209012985,5.825422704219818e-07,0.09681001305580139
g1,WML,305,9.14863109588623,15.917622566223145,0.10325857996940613,0.0013227500021457672,6.244517862796783e-07,0.10585910081863403
g1,WML,306,3.2534573078155518,9.327510833740234,0.09177757799625397,0.003867075778543949,5.962792783975601e-07,0.09787094593048096
g1,WML,307,8.480437278747559,11.835026741027832,0.10095752775669098,0.0018522245809435844,5.944166332483292e-07,0.10418082773685455
g1,WML,308,10.11664867401123,14.418231010437012,0.0890074372291565,0.002338757738471031,5.993060767650604e-07,0.0927484780550003
g1,PW,301,17.062597274780273,,0.09032325446605682,0.0011765900999307632,6.032641977071762e-07,0.09194818139076233
g1,PW,302,19.549686431884766,,0.08376168459653854,0.0007682610303163528,6.244517862796783e-07,0.08498812466859818
g1,PW,303,11.651703834533691,,0.08956271409988403,0.0008533773943781853,5.986075848340988e-07,0.09098772704601288
g1,PW,304,11.912358283996582,,0.09221113473176956,0.001401183195412159,6.048940122127533e-07,0.09415338188409805
g1,PW,305,18.419973373413086,,0.08447714149951935,0.0008347472175955772,6.121117621660233e-07,0.08577442169189453
g1,PW,306,9.263827323913574,,0.09191852807998657,0.0013943836092948914,5.895271897315979e-07,0.09375627338886261
g1,PW,307,13.560840606689453,,0.07378803193569183,0.000784984789788723,5.80446794629097e-07,0.07493648678064346
g1,PW,308,17.0649471282959,,0.09118975698947906,0.001066845841705799,6.011687219142914e-07,0.09282152354717255
leap,WML,301,28.927001953125,,0.09339102357625961,0.002559988759458065,4.1123712435364723e-07,0.10078450292348862
leap,WML,302,36.23037338256836,,0.09809093177318573,0.00283807679079473,4.098983481526375e-07,0.10419832170009613
leap,WML,303,26.41729736328125,,0.09038340300321579,0.002375354990363121,4.1833845898509026e-07,0.09967851638793945
leap,WML,304,27.84003448486328,,0.09871688485145569,0.0031272682826966047,4.1141174733638763e-07,0.10570633411407471
leap,WML,305,18.335817337036133,,0.0855373740196228,0.003464048495516181,4.1135353967547417e-07,0.09427817165851593
leap,WML,306,33.94759750366211,,0.08823701739311218,0.002156646689400077,4.1315797716379166e-07,0.09547857940196991
leap,WML,307,28.487821578979492,,0.09440608322620392,0.0017356097232550383,4.12575900554657e-07,0.1008293628692627
leap,WML,308,30.508995056152344,,0.10231461375951767,0.0018100463785231113,4.0762824937701225e-07,0.10801754891872406
leap,PW,301,28.07533836364746,,0.09204155951738358,0.0016381791792809963,4.145549610257149e-07,0.0942869707942009
leap,PW,302,20.74250030517578,,0.08928489685058594,0.001334161264821887,4.173489287495613e-07,0.09123671799898148
leap,PW,303,19.990602493286133,,0.07910073548555374,0.0012924796901643276,4.1013117879629135e-07,0.08134886622428894
leap,PW,304,15.4462251663208,,0.09072092175483704,0.0011313953436911106,4.041357897222042e-07,0.09262801706790924
leap,PW,305,39.960018157958984,,0.08610231429338455,0.0012303544208407402,4.0754093788564205e-07,0.08766652643680573
leap,PW,306,30.393957138061523,,0.08763692528009415,0.0011070838663727045,4.094908945262432e-07,0.08929203450679779
leap,PW,307,27.359182357788086,,0.07875050604343414,0.0015134410932660103,2.2889580577611923e-06,0.0813794806599617
leap,PW,308,17.193288803100586,,0.0937952846288681,0.0020300447940826416,4.121684469282627e-07,0.09717516601085663
