run,task,env,d,arm,seed,n_points,F_run,overshoot_run,kl_q25,kl_med,kl_q75,kl_iqr,kl_q90,kl_q95,kl_max,kl_min,area_above,longest_above,first_cross,late_frac_above,frac_points_gate_proven,lag_first,lag_med,lag_last,lag_max,final_return,sigma_mean_last,sigma_max_last,entropy_last,abs_pred_action_last,value_loss_last,q_last,ess_last,eta_last,temp_last,est_all_zero,gradnorm_all_zero,iqm_all_zero,meta_alpha_kl,meta_action_pad
walker_A_s102,walker,WalkerRun,6,A,102,21,0.8095238095238095,0.007985728979110714,0.1010303869843483,0.10487310588359833,0.11352284252643585,0.012492455542087555,0.11834071576595306,0.12406577169895172,0.12539473176002502,0.09706513583660126,0.16770030856132498,14,0,0.8571428571428571,0.8095238095238095,0.040806688368320465,0.0162814874202013,0.01509816013276577,0.07584235817193985,910.4627685546875,0.5231939554214478,1.6682666540145874,-2.6192734241485596,0.6639820337295532,7.830410003662109,87.93871307373047,0.0,0.0,0.014509915374219418,True,True,True,0.015087048523128033,0
walker_A_s103,walker,WalkerRun,6,A,103,21,1.0,0.0069459241060983515,0.10422271490097046,0.10567107796669006,0.10829079896211624,0.0040680840611457825,0.10934997349977493,0.10945010185241699,0.1355677992105484,0.1000911295413971,0.14586440622806537,21,0,1.0,1.0,0.09663458168506622,0.016044121235609055,0.01130090095102787,0.09663458168506622,910.5733642578125,0.5399208068847656,1.772883653640747,-2.5481059551239014,0.6693882942199707,9.077066421508789,87.93245697021484,0.0,0.0,0.014509915374219418,True,True,True,0.011381862685084343,0
walker_A_s104,walker,WalkerRun,6,A,104,21,0.9523809523809523,0.0071876485432897244,0.10439915955066681,0.10646781325340271,0.1104368269443512,0.006037667393684387,0.11334796249866486,0.11384475231170654,0.11394234001636505,0.09930956363677979,0.1509406194090842,11,0,1.0,0.9523809523809523,0.12477562576532364,0.014211058616638184,0.010525671765208244,0.12477562576532364,909.600830078125,0.5279171466827393,1.5617386102676392,-2.73593807220459,0.6722404360771179,7.89764404296875,87.7222900390625,0.0,0.0,0.014509915374219418,True,True,True,0.010600500740110874,0
walker_A_s105,walker,WalkerRun,6,A,105,21,0.8571428571428571,0.005515895641985389,0.10265211760997772,0.10594649612903595,0.10896427929401398,0.006312161684036255,0.10955145955085754,0.11114498227834702,0.11272406578063965,0.09528902173042297,0.11583380848169317,8,0,0.8571428571428571,0.8571428571428571,0.11861321330070496,0.015965024009346962,0.015232070349156857,0.11861321330070496,907.2993774414062,0.516018807888031,1.6034157276153564,-2.8184919357299805,0.664413571357727,8.265538215637207,87.68510437011719,0.0,0.0,0.014509915374219418,True,True,True,0.015285158529877663,0
walker_A_s106,walker,WalkerRun,6,A,106,21,0.9047619047619048,0.009840956330299373,0.10181465744972229,0.10695122182369232,0.11467881500720978,0.012864157557487488,0.12077052146196365,0.12263979762792587,0.13470786809921265,0.09710157662630081,0.20666008293628682,18,0,1.0,0.9047619047619048,0.11346107721328735,0.02008829265832901,0.014536325819790363,0.11346107721328735,897.6251220703125,0.5283482670783997,1.6301991939544678,-2.957045078277588,0.677237331867218,7.868453025817871,85.5502700805664,0.0,0.0,0.014509915374219418,True,True,True,0.014694049954414368,0
walker_A_s107,walker,WalkerRun,6,A,107,21,0.9047619047619048,0.005705044666926061,0.10368607938289642,0.10618692636489868,0.10740926861763,0.0037231892347335815,0.11089301109313965,0.11118662357330322,0.11124958842992783,0.09906433522701263,0.11980593800544728,10,0,1.0,0.9047619047619048,0.14318051934242249,0.016308456659317017,0.011406013742089272,0.14318051934242249,903.2528076171875,0.5358069539070129,1.7045133113861084,-2.439181327819824,0.661759614944458,7.9385666847229,88.20118713378906,0.0,0.0,0.014509915374219418,True,True,True,0.011504112742841244,0
walker_A_s108,walker,WalkerRun,6,A,108,21,0.7619047619047619,0.004635227648984814,0.10038851201534271,0.1022835224866867,0.10834456235170364,0.007956050336360931,0.11157158762216568,0.11622311174869537,0.1197468489408493,0.0951627790927887,0.0973397806286811,4,0,0.7142857142857143,0.7619047619047619,0.06291713565587997,0.02332916110754013,0.019073177129030228,0.06291713565587997,889.9786376953125,0.5319578647613525,1.6293351650238037,-2.9926223754882812,0.6731270551681519,7.772971153259277,85.99026489257812,0.0,0.0,0.014509915374219418,True,True,True,0.019291825592517853,0
walker_B_s101,walker,WalkerRun,6,B,101,21,1.0,0.00713727807714825,0.10287903994321823,0.1045716255903244,0.10542608797550201,0.002547048032283783,0.10963466018438339,0.1111728698015213,0.16117531061172485,0.1000608429312706,0.14988283962011326,21,0,1.0,1.0,0.2090613842010498,0.5115793347358704,0.4791969060897827,0.6668710708618164,909.2294311523438,0.36208948493003845,6.117722034454346,-13.682873725891113,0.7381052374839783,6.069568634033203,72.61244201660156,21.018461227416992,0.018778257071971893,0.014509915374219418,True,True,True,0.4814116060733795,0
walker_B_s102,walker,WalkerRun,6,B,102,21,0.9047619047619048,0.0052963611625489685,0.1028144508600235,0.10426494479179382,0.10579191893339157,0.0029774680733680725,0.10684496909379959,0.10785460472106934,0.13593444228172302,0.09824579954147339,0.11122358441352834,16,0,0.8571428571428571,0.9047619047619048,0.13968917727470398,0.581904947757721,0.5827128887176514,0.7664918899536133,879.208984375,0.38660216331481934,6.651179790496826,-14.147146224975586,0.7627809047698975,5.121051788330078,68.32174682617188,20.74217987060547,0.017814110964536667,0.014509915374219418,True,True,True,0.5815193057060242,0
walker_B_s103,walker,WalkerRun,6,B,103,21,1.0,0.005618652843293684,0.10205075144767761,0.10387762635946274,0.10546332597732544,0.003412574529647827,0.10689741373062134,0.10876592248678207,0.14194495975971222,0.10048235952854156,0.11799170970916736,21,0,1.0,1.0,0.15202099084854126,0.5592253804206848,0.5941201448440552,0.7871720790863037,907.6688232421875,0.37073689699172974,6.649438381195068,-12.03207778930664,0.7216966152191162,8.582871437072754,74.34959411621094,21.412899017333984,0.024313069880008698,0.014509915374219418,True,True,True,0.5948183536529541,0
walker_B_s104,walker,WalkerRun,6,B,104,21,0.9523809523809523,0.007091313955329708,0.10208304971456528,0.10474450886249542,0.1060953214764595,0.004012271761894226,0.10697536170482635,0.10719818621873856,0.17212262749671936,0.09741300344467163,0.14891759306192387,19,0,1.0,0.9523809523809523,0.18422462046146393,0.5792018175125122,0.6009714603424072,0.793012261390686,890.2717895507812,0.3830316662788391,6.049436092376709,-14.0343656539917,0.7643495798110962,5.6395978927612305,69.96919250488281,20.13007354736328,0.023032480850815773,0.014509915374219418,True,True,True,0.6038638949394226,0
