task,cell,seed,n_onpolicy,sigma_onpolicy_mean,sigma_onpolicy_median,sigma_neutral_mean,sigma_neutral_median,ratio_neutral_over_onpolicy_median
leap,PW_ent,303,192,0.385220838257131,0.3626749515533447,0.79411333572898,0.6210115551948547,1.712308921625408
leap,PW_ent,304,192,0.2926439731939657,0.25518280267715454,0.6617220844244306,0.4187169224023819,1.6408508645942068
leap,PW_ent,305,192,0.2366630990024229,0.1962077096104622,0.593501647217181,0.43827956914901733,2.2337530468050852
leap,PW_ent,306,192,0.2657837011211086,0.2349167764186859,0.9953789779272787,0.6511527895927429,2.7718445635070807
leap,PW_ent,307,192,0.26038110129108344,0.21350887417793274,2.5211134491702674,0.6980524063110352,3.2694304112591426
leap,PW_ent,308,192,0.21476309835027982,0.17552286386489868,0.7700404860027751,0.4814208447933197,2.7427813915107553
leap,PW_noent,301,192,0.22252143633765323,0.14880876243114471,2.558840501286492,1.5402723550796509,10.350683185019767
leap,PW_noent,302,192,0.1936794127104804,0.13312603533267975,2.0343901923689978,1.0485820770263672,7.876611621505726
leap,PW_noent,303,192,0.2095410855326918,0.1266942173242569,13.398169447115075,1.9203009605407715,15.15697402057442
leap,PW_noent,304,192,0.22998158875028216,0.15577972680330276,2.030314876118003,0.9203006625175476,5.907704945968848
leap,PW_noent,305,192,0.16027371650125133,0.11381873488426208,1.2458559486954073,0.7969695925712585,7.002094983586546
leap,PW_noent,306,192,0.2194230823321656,0.1560807153582573,6.536518190193874,0.9806680381298065,6.283082672185647
leap,PW_noent,307,192,0.27505571703901904,0.19376444071531296,20.549374020831237,1.1587550640106201,5.980225575615873
leap,PW_noent,308,192,0.2785655254944383,0.2032451257109642,0.9687885021006272,0.7125444114208221,3.5058376378193428
leap,WML_ent,301,192,0.37213653235085076,0.12718527764081955,20.030688710336108,8.081050395965576,63.53762436865569
leap,WML_ent,302,192,0.2252450137869649,0.12834498286247253,14.018852455831015,1.5956958532333374,12.432865061372892
leap,WML_ent,303,192,0.38317812644527294,0.12053577229380608,10.621428688626262,2.294561505317688,19.03635295690222
leap,WML_ent,304,192,0.4098263980898385,0.1438741534948349,39.74619808170852,3.5131657123565674,24.418324118811864
leap,WML_ent,305,192,0.49066893409083906,0.1580638363957405,15.464414010078144,3.6110326051712036,22.845406561753638
leap,WML_ent,306,192,0.25974242910645745,0.11427679657936096,17.209253632719083,2.4207851886749268,21.183523349762275
leap,WML_ent,307,192,0.35746081976685673,0.13115938752889633,124.64655457005681,3.4735859632492065,26.483700699531894
leap,WML_ent,308,192,0.2956498825442395,0.14109594374895096,29.218409684114402,2.5787668228149414,18.276689990488222
leap,WML_noent,301,192,0.32499279650558793,0.17083445191383362,482.8805667851345,3.5692615509033203,20.893101543145427
leap,WML_noent,302,192,0.3214948002350866,0.15620438009500504,113.20886800768874,1.607141375541687,10.288708770933363
leap,WML_noent,303,192,0.3003888457509068,0.15522029995918274,63.30481674509307,4.332556247711182,27.912304311037186
leap,WML_noent,304,192,0.22092531828335873,0.11102667823433876,24.008638920365684,2.8291852474212646,25.482030917378587
leap,WML_noent,305,192,0.22313175414213524,0.10138428211212158,74.30100132451525,7.245135307312012,71.46211578733246
leap,WML_noent,306,192,0.28754653774619027,0.1338886171579361,5.884376524655029,1.407116949558258,10.509608504645406
leap,WML_noent,307,192,0.2919073249746968,0.10777653753757477,39.82233705788303,3.4085206985473633,31.625813710697756
leap,WML_noent,308,192,0.20973413836569912,0.10911322757601738,995.3734702074157,3.1740857362747192,29.08983453966098
