checkpoint,env,mode,seed,action_dim,action_pad,actor_out_dim,critic_action_dim,M,eps_e,min_std,with_eta,alpha_entropy,alpha_kl,eta_final,ess_final,final_return,obs_dim,critic_obs_dim,max_episode_steps,path
HopperHop_weighted_mle_s106_final,HopperHop,weighted_mle,106,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.37546175718307495,0.009910373017191887,22.339378356933594,227.1861572265625,15,15,1000,exports/HopperHop_weighted_mle_s106_final
HopperHop_weighted_mle_s107_final,HopperHop,weighted_mle,107,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.3535274267196655,0.002867842558771372,19.305587768554688,0.966966986656189,15,15,1000,exports/HopperHop_weighted_mle_s107_final
HopperHop_weighted_mle_s108_final,HopperHop,weighted_mle,108,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.5368783473968506,0.001675711595453322,17.76850128173828,1.00851309299469,15,15,1000,exports/HopperHop_weighted_mle_s108_final
HopperHop_weighted_mle_s234_final,HopperHop,weighted_mle,234,4,0,4,4,32,0.5,0.1,True,0.00037288450403138995,0.0009246604167856276,0.009333902969956398,30.016159057617188,1.0039265155792236,15,15,1000,exports/HopperHop_weighted_mle_s234_final
LeapCubeRotateZAxis_pathwise_fa_s101_final,LeapCubeRotateZAxis,pathwise,101,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.014788543805480003,0.0,0.0,35.172019958496094,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s101_final
LeapCubeRotateZAxis_pathwise_fa_s102_final,LeapCubeRotateZAxis,pathwise,102,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.011343940161168575,0.0,0.0,19.95796012878418,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s102_final
LeapCubeRotateZAxis_pathwise_fa_s103_final,LeapCubeRotateZAxis,pathwise,103,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.022419191896915436,0.0,0.0,25.717702865600586,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s103_final
LeapCubeRotateZAxis_pathwise_fa_s104_final,LeapCubeRotateZAxis,pathwise,104,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.010185281746089458,0.0,0.0,31.354408264160156,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s104_final
LeapCubeRotateZAxis_pathwise_fa_s105_final,LeapCubeRotateZAxis,pathwise,105,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.010592173784971237,0.0,0.0,18.149362564086914,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s105_final
LeapCubeRotateZAxis_pathwise_fa_s106_final,LeapCubeRotateZAxis,pathwise,106,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.016850057989358902,0.0,0.0,30.601478576660156,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s106_final
