condition,task,arm,d,seed,state,eta,eta_src,n_ubar,n_c,n_lin,n_v,R_exact,R_linear,norm_ratio,cosine_linear,residual_linear,cos_ubar_c,cos_v_c,cross_fraction,direction_change,logit_spread,q_sd,ess,w_max,n_ubar_raw
walker,walker,A,6,106,467,0.295911076703408,recomputed_counterfactual,0.23580029486796122,0.1321499174879349,0.13951064605226124,0.33648241697508013,1.784339327247065,1.6901957057667076,0.9472389471803017,0.9967522549901932,0.09979859382571009,0.6443158226420165,0.8442633674854231,0.5495767943356297,0.15573663251457692,0.1343476723486552,0.03975496437728725,31.49433308161058,0.03961486491743268,0.235800294867961
walker,walker,A,6,106,483,0.295911076703408,recomputed_counterfactual,0.4506851889330578,0.2836192681213784,0.4684437893487138,0.5903160479464727,1.589049967996506,0.9620902212380525,0.6054499484668036,0.9483608000598627,0.7715228150714538,0.25392928480641225,0.6743191841128583,0.22893457436201703,0.3256808158871417,0.5502474104526149,0.1628243036802946,29.30393316854887,0.04571008346183153,0.45068518893305515
walker,walker,A,6,106,499,0.295911076703408,recomputed_counterfactual,0.26439224983547593,0.5285917799150569,0.5176780532291214,0.7038662926504962,0.500182295452008,0.5107271752892848,1.0210820733404435,0.9977315675989247,0.06978168289632165,0.5227527834108512,0.9473440785434936,0.41829368590616156,0.05265592145650644,0.42813139927392263,0.1266888233296835,26.14537472588414,0.0837122721921888,0.2643922498354754
walker,walker,A,6,106,515,0.295911076703408,recomputed_counterfactual,0.5614654868917432,1.163430696872001,0.6581838069388054,1.173552696713728,0.4825946989372176,0.8530527201850355,1.7676379828931332,0.6966464904187436,0.7292624077333351,-0.2231911052864432,0.8845930797819775,-0.17472795869807264,0.11540692021802246,0.8478552187686255,0.25088975067442726,6.437882206346256,0.37293675513448205,0.5267790697177872
walker,walker,A,6,106,531,0.295911076703408,recomputed_counterfactual,0.5231689739949946,0.8255719416284353,1.7432770774445225,0.48451730116643876,0.6337048870173732,0.30010660999547484,0.4735747129986767,0.9793477479408476,1.1501614714880648,-0.8340993988360031,0.8032675283062114,-0.7542518512811659,0.1967324716937886,2.386456848873776,0.7061790156564609,13.436771885226436,0.11064626341823498,0.5569499815503891
walker,walker,A,6,106,548,0.295911076703408,recomputed_counterfactual,0.3424522450686557,0.2520305182017258,0.27363528683325683,0.4627708837241981,1.358772927622985,1.2514915347013775,0.9210453853284748,0.9972999812801564,0.1149406241004339,0.19328340044043188,0.68764233837734,0.18454244861179267,0.31235766162266,0.2772868239725649,0.08205224263739085,30.14766089342022,0.044447232675321593,0.34245224506865557
walker,walker,A,6,106,564,0.295911076703408,recomputed_counterfactual,0.6666796931879841,0.8094839626532617,0.6165418990254337,1.3149230967336665,0.8235860423991246,1.0813209844143956,1.312942338438796,0.9537383051067588,0.35676589416263815,0.5830421455292503,0.9112215948801263,0.5722303505708051,0.08877840511987367,0.5867184391361688,0.173616485046527,16.892757170219745,0.17492199450821372,0.666679693187984
walker,walker,A,6,106,580,0.295911076703408,recomputed_counterfactual,1.0370549955642425,1.6283973840782553,1.523942548048803,1.9361425636238703,0.6368562156286098,0.6805079344305774,1.0685425025780162,0.9097550123919756,0.4159651254163956,0.006361829642732535,0.844460001039369,0.005764956699503796,0.15553999896063098,1.6908621904506071,0.5003448513333211,2.788761935272526,0.565580651902666,0.5673443639321141
walker,walker,A,6,106,596,0.295911076703408,recomputed_counterfactual,0.7230367804405746,0.10665631931643725,0.10732548212499553,0.8042791238984889,6.779127435371429,6.736860306779338,0.9937651078168677,0.9997810224088907,0.02191041118339336,0.730759551966337,0.7895546883876633,0.21099974957807785,0.2104453116123367,0.10862084445337465,0.032142111034633304,31.635078724787583,0.03841523166246735,0.7427053161186926
walker,walker,A,6,106,612,0.295911076703408,recomputed_counterfactual,0.3194432961079167,0.28513688437636037,0.3168589945078437,0.4316876457736784,1.1203155873904902,1.0081559988634026,0.8998857198873111,0.9988319504453791,0.12236441796179519,0.01650743299288397,0.6727319533581035,0.016401469521172756,0.32726804664189646,0.27547704099303455,0.08151670780731826,30.14857926143975,0.04586413558513561,0.31944329610791694
