task,seed,law,law_arm,critic,operator,D,D_se_states,raw_norm_median,n_zero_norm,saturation,M,R,S_eval,u_sha256
walker,305,A,PW,WML,WML-32,0.3276122212409973,0.0047003221698105335,1.0497887134552002,0,0.017600098624825478,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,PW,PW-32,0.14055882394313812,0.015147445723414421,0.028294896706938744,0,0.5941910743713379,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,PW,PW-1,0.6363463997840881,0.024656200781464577,0.020364981144666672,942,0.5941910743713379,1,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,PW,ZO-32,0.6163201332092285,0.02658458612859249,0.06992487609386444,0,0.5941910743713379,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,PW,WML-32,0.3739492893218994,0.00496321776881814,0.9177169799804688,0,0.5941910743713379,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,WML,PW-32,0.21729815006256104,0.019519459456205368,0.1274152547121048,0,0.5941910743713379,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,WML,PW-1,0.7298239469528198,0.01965312287211418,0.06048733741044998,942,0.5941910743713379,1,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,WML,ZO-32,0.6229535341262817,0.026826979592442513,0.2349245846271515,0,0.5941910743713379,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,305,B,WML,WML,WML-32,0.4035288095474243,0.00667919684201479,0.8767340779304504,0,0.5941910743713379,32,200,128,a4ff8cee8d69db503bd8267b249a726add761bb7630fa8dcf9e897b6d9753719
walker,306,A,PW,PW,PW-32,0.019905462861061096,0.00425785593688488,0.42522579431533813,0,0.007328084670007229,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,A,PW,PW,PW-1,0.30449700355529785,0.015208420343697071,0.49298614263534546,0,0.007328084670007229,1,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,A,PW,PW,ZO-32,0.22302284836769104,0.010264856740832329,0.45067137479782104,0,0.007328084670007229,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,A,PW,PW,WML-32,0.3004257380962372,0.003758478444069624,1.0024757385253906,0,0.007328084670007229,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,A,PW,WML,PW-32,0.011871347203850746,0.0013050155248492956,1.5987690687179565,0,0.007328084670007229,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,A,PW,WML,PW-1,0.21612942218780518,0.010943401604890823,1.4885504245758057,0,0.007328084670007229,1,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,A,PW,WML,ZO-32,0.21923917531967163,0.01153472438454628,1.6400625705718994,0,0.007328084670007229,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,A,PW,WML,WML-32,0.3078530430793762,0.0037595483008772135,1.0517973899841309,0,0.007328084670007229,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,PW,PW-32,0.13769418001174927,0.01794653944671154,0.0686914399266243,0,0.5353981852531433,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,PW,PW-1,0.5720096826553345,0.026692325249314308,0.06110537797212601,650,0.5353981852531433,1,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,PW,ZO-32,0.6120445728302002,0.030013294890522957,0.1772530972957611,0,0.5353981852531433,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,PW,WML-32,0.3720221519470215,0.005160840693861246,0.9246758222579956,0,0.5353981852531433,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,WML,PW-32,0.15343865752220154,0.016966739669442177,0.13091906905174255,0,0.5353981852531433,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,WML,PW-1,0.6278190612792969,0.0241994746029377,0.10073020309209824,650,0.5353981852531433,1,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,WML,ZO-32,0.650594174861908,0.027317197993397713,0.27013927698135376,0,0.5353981852531433,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,306,B,WML,WML,WML-32,0.39088258147239685,0.005596766714006662,0.8908621072769165,0,0.5353981852531433,32,200,128,486e8013dd847e630a350b3c752276d2095011280bd1696489fc851071a75a8e
walker,307,A,PW,PW,PW-32,0.01624954305589199,0.0018120571039617062,0.4943689703941345,0,0.006754761096090078,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,A,PW,PW,PW-1,0.28351983428001404,0.014305710792541504,0.5436207056045532,0,0.006754761096090078,1,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,A,PW,PW,ZO-32,0.23611211776733398,0.010206739418208599,0.5117363929748535,0,0.006754761096090078,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,A,PW,PW,WML-32,0.2938233017921448,0.0027744367253035307,1.0146336555480957,0,0.006754761096090078,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,A,PW,WML,PW-32,0.01078645046800375,0.0008421156089752913,3.7256526947021484,0,0.006754761096090078,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,A,PW,WML,PW-1,0.23419375717639923,0.01178820338100195,3.608741521835327,0,0.006754761096090078,1,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,A,PW,WML,ZO-32,0.2538307011127472,0.011746291071176529,3.888075351715088,0,0.006754761096090078,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
