d,rank,sigma,omega,c,r_nom,r_rms,omega_rms_over_omega,ratio,product_rms,product_nom,arm,npz
1,1,0.013501275609964631,1.1040746109061288,0.014906415615808107,0.014906415615808107,0.013779936811893753,0.924429934536393,7933.793744301049,1.5065215836491723,1.7628987008706407,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,1.4906415615808106,0.02012556255857059,0.02012556255857059,0.01756756478607116,0.8728980735293737,3887.335086641987,1.1997067596930664,1.574519471791174,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,2.012556255857059,0.027172076690884648,0.027172076690884648,0.028333648042342865,1.0427487145966978,3026.2087005825824,2.429427063969942,2.2343157088097407,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,2.717207669088465,0.03668576962987294,0.03668576962987294,0.034098610839897174,0.9294778652300901,1320.8853743635264,1.5358135830825508,1.7777078924778043,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,3.6685769629872937,0.04953046867365847,0.04953046867365847,0.04981353893662437,1.0057150733789937,850.0253927605785,2.109243371490184,2.0853395232072938,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,4.953046867365847,0.06687245086537823,0.06687245086537823,0.05723815627994098,0.8559302902650872,337.83040632918744,1.1068021847100113,1.5107521333200569,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,6.687245086537825,0.09028633898472894,0.09028633898472894,0.09711164156010117,1.0755961826797147,292.23004131053483,2.7559253544364446,2.38214912816107,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,9.028633898472895,0.12189807464475198,0.12189807464475198,0.11334740696933361,0.9298539562635617,119.54587390537155,1.5358817138442198,1.7763489487605375,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,12.189807464475196,0.16457795021028376,0.16457795021028376,0.15885318502074203,0.9652154788522574,70.29553340724031,1.77386099620847,1.9040179074955281,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,16.457795021028378,0.22220122651120777,0.22220122651120777,0.19720862174774967,0.887522651625879,32.50111628008836,1.2640087294959002,1.6046901290769056,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,22.22012265112078,0.2999999999999996,0.2999999999999996,0.2985853550913267,0.9952845169710903,22.15585589092352,1.9752657676898282,1.9940270301831116,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,29.99999999999996,0.4050382682989384,0.4050382682989384,0.4006232997237769,0.9890998729732297,11.799887158014727,1.893870422693507,1.935842273277314,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,40.503826829893846,0.5468533292886768,0.5468533292886768,0.5224530827040819,0.9553806381386876,5.833613648050337,1.5923269850843849,1.7445337829458272,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,54.68533292886767,0.7383217516953168,0.7383217516953168,0.7651517119914094,1.036339116698765,3.558855259533319,2.083557230331279,1.9399996523453404,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,73.83217516953168,0.9968285458470343,0.9968285458470343,1.0154861442079193,1.0187169583361309,1.6619303934534226,1.7138027461743779,1.6514056372546364,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,99.68285458470345,1.3458456933361076,1.3458456933361076,1.34579670061061,0.9999635970707933,0.7703543625995216,1.3952417551880352,1.395343342508796,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,134.58456933361077,1.817063363421473,1.817063363421473,1.8169980977991091,0.9999640818126228,0.3549730063290939,1.1719370219080114,1.1720212141511281,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,181.70633634214732,2.4532673270322634,2.4532673270322634,2.4532698676908264,1.0000010356223863,0.1731121924457667,1.041881450505622,1.0418792925174665,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,245.3267327032263,3.3122238327183817,3.3122238327183817,3.312223832775696,1.000000000017304,0.09427753239582788,1.0343024713536604,1.0343024713178655,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,331.2223832718382,4.471924684742427,4.471924684742427,4.471924684742426,1.0,0.051736516241650626,1.0346325627880584,1.0346325627880588,rank1,d1_rank1_M32_unit_H_identity.npz
1,1,0.013501275609964631,447.1924684742427,6.037668767571169,6.037668767571169,6.037668767571169,1.0,0.028413278733512418,1.0357618693425206,1.0357618693425206,rank1,d1_rank1_M32_unit_H_identity.npz
