task,cell,seed,coord,mean_FH,median_FH,frac_pos,median_sigma,E_sech2,two_s2_E_sech2
walker,WML_noent,304,3,0.011163939721882343,0.014241328462958336,0.9479166666666666,0.391635537147522,0.304625004529953,0.2305992841720581
walker,WML_noent,304,4,0.00764040881767869,0.014218825846910477,0.9114583333333334,0.18750539422035217,0.4163384437561035,0.47343531250953674
walker,WML_noent,304,5,0.011770889163017273,0.014031190425157547,0.9635416666666666,0.2673857808113098,0.45243582129478455,0.18876929581165314
walker,WML_noent,305,0,-0.062333688139915466,0.0143060814589262,0.8385416666666666,0.3385496735572815,0.24306844174861908,5.295937538146973
walker,WML_noent,305,1,-0.01997520588338375,0.014276301488280296,0.9010416666666666,0.22846998274326324,0.3028152287006378,2.3766591548919678
walker,WML_noent,305,2,-0.06671134382486343,0.014237869530916214,0.8541666666666666,0.18763390183448792,0.4508751928806305,5.5976386070251465
walker,WML_noent,305,3,-0.09186466783285141,0.014234248548746109,0.859375,0.25455242395401,0.4101139008998871,7.331165313720703
walker,WML_noent,305,4,-0.009625059552490711,0.01421072892844677,0.8854166666666666,0.20335137844085693,0.40635180473327637,1.6633435487747192
walker,WML_noent,305,5,-0.046733204275369644,0.014196140691637993,0.8854166666666666,0.18618392944335938,0.4588817358016968,4.220776557922363
walker,WML_noent,306,0,-0.4948566257953644,0.014232123270630836,0.875,0.21912656724452972,0.31960269808769226,35.10471725463867
walker,WML_noent,306,1,-0.06920548528432846,0.014293382875621319,0.90625,0.1928933560848236,0.30359628796577454,5.769530773162842
walker,WML_noent,306,2,-0.08433747291564941,0.014011121354997158,0.8072916666666666,0.28967392444610596,0.39225590229034424,6.812403202056885
walker,WML_noent,306,3,-0.057230520993471146,0.014358051121234894,0.8645833333333334,0.3585718274116516,0.28112125396728516,4.944235324859619
walker,WML_noent,306,4,0.0020985305309295654,0.01432771235704422,0.921875,0.16652610898017883,0.32067397236824036,0.8553726673126221
walker,WML_noent,306,5,-0.06273090839385986,0.014234203845262527,0.875,0.10934042930603027,0.5411154627799988,5.323313236236572
