arm,d,rank,sigma,omega,R,r_rms,product
rank1,1,1,1.6457795021028379,0.6056877878071585,1.6411660831457593,0.9884849743430639,1.603587555792115
rank1,1,1,1.6457795021028379,0.8177557756774221,0.7640134665642839,1.3472425291827583,1.386732141038135
rank1,1,1,1.6457795021028379,1.1040746109061288,0.3584919411100961,1.81687011695089,1.1833879998073369
rank1,1,1,1.6457795021028379,1.4906415615808106,0.1746699589404069,2.4532653630009915,1.0512530589993283
rank1,1,1,2.222012265112078,0.24610725056510596,6.1272520429308726,0.5355021262545707,1.7570662807641653
rank1,1,1,2.222012265112078,0.33227618194901193,3.3985960255020435,0.748668248597313,1.9049271644287857
rank1,1,1,2.222012265112078,0.4486152311120365,1.6533785869288964,1.0030094169497512,1.6633449719892164
rank1,1,1,2.222012265112078,0.6056877878071585,0.7851738964083252,1.3436427781223392,1.4175340418195794
rank1,1,1,2.222012265112078,0.8177557756774221,0.3491079657668002,1.817159026641506,1.1527778680964609
rank1,1,1,2.222012265112078,1.1040746109061288,0.17439878705285006,2.4532661875023503,1.04962171354726
rank1,1,1,2.999999999999996,0.18228444309622582,5.824235331632448,0.5218461678397803,1.5860757012215723
rank1,1,1,2.999999999999996,0.24610725056510596,3.231394110307941,0.728915677736507,1.7168980667492906
rank1,1,1,2.999999999999996,0.33227618194901193,1.6499396076044879,1.0025007010862803,1.6582019370496632
rank1,1,1,2.999999999999996,0.4486152311120365,0.761658311492017,1.3474680652513236,1.3829202887594332
rank1,1,1,2.999999999999996,0.6056877878071585,0.3562713202634829,1.8169123037135777,1.1761123081021956
rank1,1,1,2.999999999999996,0.8177557756774221,0.1740555531082963,2.4532678910915835,1.0475574097893987
rank1,2,1,0.01,73.83217516953168,5.778754421517284,0.5443823309422403,1.7125461367326056
rank1,2,1,0.01,99.68285458470345,2.8146325140088027,0.7190327588961904,1.455187831812756
rank1,2,1,0.01,134.58456933361077,1.335504064613582,0.9548890835804248,1.2177301839404526
rank1,2,1,0.01,181.70633634214732,0.6711810777320221,1.2846488358698576,1.1076653224169115
rank1,2,1,0.01,245.3267327032263,0.3463036686933545,1.7347210551413839,1.0421167873296031
rank1,2,1,0.01,331.2223832718382,0.18857579691470006,2.342095932988539,1.0344161956405853
rank1,2,1,0.013501275609964631,54.68533292886767,4.779063773480449,0.5046295831345738,1.2169934462798893
rank1,2,1,0.013501275609964631,73.83217516953168,2.7996857439586966,0.716988326818604,1.4392407799099747
rank1,2,1,0.013501275609964631,99.68285458470345,1.333244677285559,0.9553546496455122,1.216855758868704
rank1,2,1,0.013501275609964631,134.58456933361077,0.65711428582255,1.2850789557558029,1.085176879898369
rank1,2,1,0.013501275609964631,181.70633634214732,0.3457501767743476,1.734720730606008,1.0404507985211777
rank1,2,1,0.013501275609964631,245.3267327032263,0.18831057291809808,2.342095932861646,1.0329613322744824
rank1,2,1,0.018228444309622584,40.503826829893846,5.535517913526116,0.535144077651194,1.5852571022358006
rank1,2,1,0.018228444309622584,54.68533292886767,2.5879965140689096,0.695168064254874,1.2506716693986306
rank1,2,1,0.018228444309622584,73.83217516953168,1.3366246974267488,0.954824795940921,1.218587892941892
rank1,2,1,0.018228444309622584,99.68285458470345,0.6552361222453976,1.2851107457765383,1.0821287650981406
rank1,2,1,0.018228444309622584,134.58456933361077,0.34453048248421725,1.7347232667776744,1.0367834577044297
rank1,2,1,0.018228444309622584,181.70633634214732,0.18880331651865867,2.342095932839764,1.035664234584072
rank1,2,1,0.024610725056510595,29.99999999999996,5.731101740075194,0.5426787864643207,1.6878109827895738
rank1,2,1,0.024610725056510595,40.503826829893846,2.7485434254163,0.7120065743021049,1.3933833297039104
rank1,2,1,0.024610725056510595,54.68533292886767,1.34354249320581,0.9490910764536243,1.2102279730006444
rank1,2,1,0.024610725056510595,73.83217516953168,0.6555362488813754,1.2850745648696256,1.0825634677394549
rank1,2,1,0.024610725056510595,99.68285458470345,0.34460615403525996,1.7347234541917496,1.0370113975111732
rank1,2,1,0.024610725056510595,134.58456933361077,0.18857083536682107,2.342095933010779,1.0343889795192114
rank1,2,1,0.03322761819490119,22.22012265112078,5.045636297218438,0.5156575218965163,1.3416482131728493
rank1,2,1,0.03322761819490119,29.99999999999996,2.78922589310195,0.7160738488945805,1.430208369814044
rank1,2,1,0.03322761819490119,40.503826829893846,1.3370876526599724,0.9535283754351861,1.2157019722428937
rank1,2,1,0.03322761819490119,54.68533292886767,0.6712158593007571,1.284681811953097,1.1077795929714893
