task,arm,seed,own_mean,own_med,own_sat95,own_sat99,neu_mean,neu_med,neu_sat95,neu_sat99
leap,WML_eps01,302,0.23260980620398186,0.1556837484240532,0.188354022164079,0.07668755762506034,399.14151731416223,0.967984527349472,0.5242019831416478,0.3831790221061188
leap,WML_eps01,303,0.26087734427953063,0.18081601709127426,0.19189342116700528,0.06825791858014076,1361.3075167262562,15.503782272338867,0.8720374563780662,0.8127139923568013
leap,WML_eps01,304,0.2690802140859887,0.15999221801757812,0.1988213281057786,0.07680080412035876,56.92082917082629,2.174404263496399,0.6549303387809701,0.5436756602886644
leap,WML_eps01,305,0.20829745109949727,0.14372709393501282,0.22013887872964685,0.07418330154027769,40.10459470209662,1.9165456295013428,0.6159076579963687,0.47446638032616334
leap,WML_eps01,306,0.1803916704666335,0.13070148229599,0.13559499963414595,0.035530815390800385,510.22681052978925,1.7281317114830017,0.5628558586133979,0.4507539530748336
leap,WML_eps01,307,1.9255179055956735,0.15005065500736237,0.1982165736289757,0.07700699824230632,464.149254238323,5.526329517364502,0.7727687053791309,0.6809203951865078
leap,WML_eps01,308,0.18354641759651713,0.1300588771700859,0.1986756001511271,0.05935662529771452,874.5596401527722,8.753350257873535,0.801841230039134,0.7070249187892267
leap,WML_eps05,301,0.32499281150861253,0.17083445191383362,0.2968023123356572,0.18344857086829217,482.8805430716925,3.56925892829895,0.6782008815692858,0.5768274953361304
leap,WML_eps05,302,0.32149481329785584,0.15620439499616623,0.16803250804447367,0.06971180680565982,113.20881734859647,1.6071429252624512,0.5174750034988888,0.3931077782608107
leap,WML_eps05,303,0.30038883959059604,0.15522030740976334,0.1865016030523743,0.08833503077901832,63.30478912156301,4.332557916641235,0.683810215715318,0.5857301473611094
leap,WML_eps05,304,0.22092531044472707,0.11102667078375816,0.1626216273920846,0.06360082196535809,24.00863869801242,2.8291841745376587,0.5969804267774728,0.5023167372591472
leap,WML_eps05,305,0.22313174061855534,0.10138428211212158,0.16092903006176873,0.07051041457720429,74.30100060706945,7.245137691497803,0.7577266596063681,0.6727645844292812
leap,WML_eps05,306,0.28754653615760617,0.1338885799050331,0.15834086814556647,0.06842276187273409,5.884376527924512,1.4071182012557983,0.4851920504039109,0.35969002968608205
leap,WML_eps05,307,0.2919073635445481,0.10777653381228447,0.20146745154043336,0.10457754767240379,39.82233960699599,3.4085195064544678,0.6949741970076495,0.6014972625098797
leap,WML_eps05,308,0.20973412939686872,0.10911322757601738,0.22339819343091957,0.11201739910200854,995.3728822641993,3.1740872859954834,0.6879798032831276,0.5878273384142051
leap,PW_noent,301,0.22252143258568444,0.14880874752998352,0.3180914201177804,0.20341169237328802,2.55884048756252,1.5402721166610718,0.5829872785149478,0.44335572706935505
leap,PW_noent,302,0.19367941451249257,0.13312605768442154,0.16438751914004804,0.0653335989023505,2.0343901587959103,1.0485816597938538,0.6657379724388247,0.5248297506433971
leap,PW_noent,303,0.20954108108223105,0.1266942024230957,0.23167076267065165,0.09733336219420352,13.398169280278125,1.9202995300292969,0.7144665426856521,0.5856800468936226
leap,PW_noent,304,0.22998158213643669,0.15577975660562515,0.19974567959325087,0.07222767373828637,2.030314905225623,0.9203008413314819,0.6627890131372293,0.5202099622329348
leap,PW_noent,305,0.16027371438152235,0.11381874233484268,0.21130957315590881,0.0954576347654531,1.2458558481368225,0.7969694435596466,0.4972295216107856,0.3366603234667606
leap,PW_noent,306,0.21942308288998902,0.1560807153582573,0.20575549553230618,0.10063359660776233,6.536520578266997,0.980667769908905,0.5431907740441589,0.388162070976736
leap,PW_noent,307,0.27505570915430627,0.19376444816589355,0.29308698602351985,0.15102493960260985,20.549403645104423,1.1587559580802917,0.5793785874391401,0.43566020442181336
leap,PW_noent,308,0.27856552431330783,0.2032451033592224,0.2507596682116821,0.11546561564235991,0.9687885095668207,0.7125444412231445,0.5794847973233935,0.41924265737008676
