d,c_star,c_cell,sigma,omega,policy_reachable,is_argmin_cell,pw_2Cov_over_VarE,pw_2Cov_over_MSE,pw_VarE_over_MSE,pw_smooth_over_MSE,pw_2Cov_pooled_over_VarE,zo_2Cov_over_VarE,zo_2Cov_over_MSE,zo_VarE_over_MSE,zo_smooth_over_MSE,zo_2Cov_pooled_over_VarE
1,1.2013877434506741,1.3458456933361078,0.2012556255857059,6.687245086537825,True,False,7.1359997487057285,0.10804235349105522,0.015140464867680397,1.0137440049072024,1.9077663748978428,15.774647430535119,0.010400113885682514,0.0006592929529157606,1.0020961016112904,4.179317482494754
1,1.2013877434506741,1.3458456933361078,0.2717207669088465,4.953046867365847,True,False,10.706382226431186,0.09109931349148731,0.008508879242755554,0.9837169911575064,0.9136490691599246,23.09759101125414,0.014200241645282528,0.0006147931894007284,0.9979395497456509,2.351452634596167
1,1.2013877434506741,1.3458456933361076,0.3668576962987294,3.6685769629872937,True,False,13.269986471127538,0.06677206951831924,0.005031811423741843,0.9834719905369401,2.2847036725333005,27.802313655836162,0.015385495115892805,0.0005533890202933933,0.9974573412607749,3.594703989386787
1,1.2013877434506741,1.3458456933361076,0.4953046867365847,2.717207669088465,True,False,17.508967158636036,0.05608563743985765,0.0032032521925312,0.9791662287096449,5.50394350433351,36.6595767821304,0.0185544659754718,0.0005061287555429751,0.9938663194477321,11.11881460022479
1,1.2013877434506741,1.3458456933361078,0.6687245086537824,2.012556255857059,True,False,21.009908012393044,0.04545560376977884,0.00216353178428797,1.0027869879293947,2.288165928337506,46.152430328143915,0.018856114259203426,0.0004085616754120292,1.0019905994238116,5.8722127982368475
1,1.2013877434506741,1.3458456933361076,0.9028633898472894,1.4906415615808106,True,False,27.205935516372453,0.045109537073814765,0.0016580770415583752,0.998946924998354,0.3648817423728724,56.64181220425646,0.022583728612892682,0.0003987112653008581,1.0001494711239718,1.3748856302298558
1,1.2013877434506741,1.3458456933361076,1.2189807464475195,1.1040746109061288,True,False,29.893393113155792,0.040246602231050733,0.0013463377034084029,1.0017802359985362,2.322280430852588,60.66825749636175,0.022121097816769537,0.0003646239191573308,1.0012034753047168,4.3005934100496805
1,1.2013877434506741,1.3458456933361076,1.6457795021028379,0.8177557756774221,True,False,30.444383540906614,0.034801781987211164,0.0011431265126603642,0.9973710685817355,1.2997729377703466,64.16564928080851,0.020477343194241316,0.0003191324863655037,0.9985882269104207,3.42378369453207
1,1.2013877434506741,1.3458456933361078,2.222012265112078,0.6056877878071585,True,False,33.72594179558541,0.03599572276817569,0.0010673007439302223,0.9942496828580487,4.387719604481821,68.87838576767273,0.02200519203632483,0.0003194789162241475,0.9968433220411789,8.880708236178432
1,1.2013877434506741,1.3458456933361076,2.999999999999996,0.4486152311120365,True,False,32.81555433070411,0.03270362617113842,0.0009965891735840354,0.9971724908556309,1.8371862943286397,69.29141071738135,0.020307508568192502,0.0002930739662816315,0.9987328860433655,3.32352956050943
2,1.5182050010586579,1.3458456933361078,0.01,134.58456933361077,False,True,0.1649888019953105,0.1379986582814263,0.8364122692723635,0.1120388909391492,0.06163089863965314,14.70316946825665,0.011449006404633165,0.0007786760826875425,0.9990850067366802,0.17506275544201472
2,1.5182050010586579,1.3458456933361076,0.013501275609964631,99.68285458470345,False,False,0.23100719533504085,0.18702320381235643,0.8095990410216777,0.1949649905211068,0.00563739741715224,13.941019729021198,0.010972161362228519,0.0007870415203120064,0.9964857667594325,3.4651179764626794
2,1.5182050010586579,1.3458456933361076,0.018228444309622584,73.83217516953168,False,False,0.3202504409269371,0.2200407078354819,0.6870894765939843,0.2944071156657701,0.026930128273786824,11.631589547372533,0.009489231407850124,0.0008158155314200932,0.9978665567249995,1.6151049996392144
2,1.5182050010586579,1.3458456933361076,0.024610725056510595,54.68533292886767,False,False,0.4426150397817967,0.2355722911055553,0.532228392468745,0.41313844339270833,0.10264984903404129,11.627517757564064,0.009538781838208273,0.000820362697963028,0.9938611383900913,6.483106710180409
2,1.5182050010586579,1.3458456933361078,0.03322761819490119,40.503826829893846,False,False,0.6215216613351492,0.26560496618302265,0.42734627400186126,0.62240402970525,0.11641684211079607,13.054533230729032,0.010347918163717211,0.0007926685681384052,0.9987200486605561,0.6147370930193616
2,1.5182050010586579,1.3458456933361078,0.04486152311120365,29.99999999999996,False,False,0.7343603198715756,0.22799846120886538,0.31047219605865634,0.8143098018845825,0.4019103788593808,12.92286645080101,0.010385186003776374,0.0008036286719602105,1.0004648689204636,1.578462337996673
2,1.5182050010586579,1.3458456933361076,0.06056877878071584,22.22012265112078,False,False,1.0309511152299156,0.17408913387425543,0.16886264664007009,0.7866689312616221,0.2633407860359564,11.709090718416114,0.009628723387089802,0.0008223288740897447,0.9955487097788261,4.4130292166877965
2,1.5182050010586579,1.3458456933361076,0.0817755775677422,16.457795021028378,False,False,1.5669777222890302,0.16192754519628932,0.10333749031208093,0.8802733273294087,0.158598610330236,13.40926911316281,0.01083497695929956,0.0008080214415760905,0.9950690312924787,5.102522103749197
2,1.5182050010586579,1.3458456933361078,0.11040746109061289,12.189807464475196,True,False,1.8493015844483964,0.10903750107960514,0.05896144901218396,0.9251727251059549,0.2690881270333457,13.56672612862739,0.010747374548809377,0.0007921862980731329,0.9997213628585859,0.6482681635728441
2,1.5182050010586579,1.3458456933361078,0.14906415615808105,9.028633898472895,True,False,2.530221401558728,0.08824600109441079,0.0348767902445404,0.9962893769940622,0.8936076691713748,14.74791545635706,0.01140868401810578,0.0007735794290296184,1.0004423661452886,1.571843211812761
2,1.5182050010586579,1.3458456933361078,0.2012556255857059,6.687245086537825,True,False,3.502233492857277,0.0692360224836958,0.019769105236672833,0.9801667709296649,0.003243638641948008,12.35512638220827,0.009649834303323949,0.0007810388987376108,0.9933332297241548,7.535772400863575
2,1.5182050010586579,1.3458456933361078,0.2717207669088465,4.953046867365847,True,False,4.757736365842259,0.05290501056301555,0.011119786069451498,0.9989993425744946,0.9100110902084309,15.870781871974335,0.011575018066607146,0.0007293287854360262,0.9986374237052248,0.86826068295141
2,1.5182050010586579,1.3458456933361076,0.3668576962987294,3.6685769629872937,True,False,6.403579074351869,0.04159412947990689,0.006495450278189434,0.992449649681168,0.16240599118810722,16.04148081849676,0.011175092678691486,0.0006966372247757798,0.9976649563738942,2.351878916401356
