d,sigma,omega,r,var_pw_e,var_zo_e,mse_pw,mse_zo,mse_wml,cos_pw,cos_zo,cos_wml,win_wml_vs_pw,win_zo_vs_pw,om_meas,ratio_e,mse_ratio_zo_pw,mse_ratio_wml_pw
4,0.1,32.0,1.6,15.940809394937894,6.010418540129278,0.2535427476048456,0.2642880264484988,0.2825994875115397,0.3661431309878861,0.33927993387875305,0.2935012812211507,0.425445556640625,0.444793701171875,32.000000366935566,0.37704600759092727,1.0423805411322595,1.1146029227070615
4,0.1,64.0,3.2,64.80343813439998,6.051615468753864,0.30565506193147957,0.26209465166033996,0.28258653413542023,0.2358623451713009,0.34476337084915004,0.29353366466144937,0.51580810546875,0.540496826171875,63.9999998970917,0.09338417286136938,0.8574850683123815,0.9245275780800557
4,0.2,0.5,0.05,4.242805436036847e-05,0.0170338315743733,0.020690622769713556,0.04001305309878871,0.05215482443303057,0.9482734430757163,0.8999673672530282,0.8696129389174236,0.177093505859375,0.20269775390625,0.557104634519941,401.47567054793814,1.9338737912402943,2.5206986282391446
4,0.2,1.0,0.1,0.0006295190414313966,0.07233230676934134,0.03699409746718658,0.05484627869435438,0.068707204517231,0.9075147563320336,0.862884303264114,0.8282319887069225,0.184967041015625,0.210662841796875,0.9693466362907839,114.90090371988205,1.4825683676430415,1.8572477562987895
4,0.2,2.0,0.2,0.010395963729545094,0.24283763183941473,0.15380261091482847,0.16831397910438228,0.18450152049578483,0.6154934727129289,0.5792150522390442,0.538746198760538,0.301910400390625,0.356231689453125,2.000008146701367,23.358837925653365,1.094350597192331,1.1995994047068326
4,0.2,4.0,0.4,0.10441948181746079,0.8981249104891896,0.23339261073352663,0.24882990386139908,0.28373644819807015,0.4165184731661834,0.3779252403465023,0.2906588795048246,0.351043701171875,0.427154541015625,4.0000000049671565,8.601123993884896,1.0661430243200707,1.21570450455273
4,0.2,8.0,0.8,0.9166772564677919,1.4508573052829783,0.17954493861792042,0.2264215089296667,0.2554140359591193,0.5511376534551988,0.43394622767583313,0.3614649101022016,0.328643798828125,0.36492919921875,7.9999999830936375,1.5827351393810383,1.2610854456415599,1.422563275385065
4,0.2,16.0,1.6,3.9940631881900117,1.505859103625197,0.17253081149880972,0.1646696293611512,0.2015284082513074,0.5686729712529758,0.588325926597122,0.4961789793717314,0.41180419921875,0.46673583984375,16.000000036558774,0.37702435656948297,0.9544360681470929,1.1680719895802365
4,0.2,32.0,3.2,15.918295451874773,1.5218962459189318,0.24191893612374027,0.16321771846698407,0.19868881710051017,0.3952026596906493,0.5919557038325398,0.5032779572487247,0.554473876953125,0.608123779296875,32.00000022500361,0.09560673443460248,0.6746793826155844,0.8213032856546703
4,0.2,64.0,6.4,63.885049713925106,1.5165575212486933,0.2994160157457319,0.1623109592504921,0.19786912373006438,0.2514599606356702,0.5942226018737697,0.505327190674839,0.663299560546875,0.7213134765625,64.00000036662699,0.02373884857317607,0.5420917743703088,0.6608501660716022
