J,d,r_eff,r_inf,r_nom,ratio,ci_lo,ci_hi,n_blocks
4,64,1.25,1.25,2.5,0.15434982090796598,0.15297918313477019,0.15573845173675852,64
4,64,1.5,1.5,3.0,0.10781275476906718,0.10707333696468395,0.10854397942621297,64
4,64,1.75,1.75,3.5,0.07962028928290257,0.07896086612881066,0.08031827728060124,64
4,64,2.0,2.0,4.0,0.06039947934400653,0.05985506403073639,0.06100093833377065,64
4,64,3.0,3.0,6.0,0.027020264893039596,0.026794213515203426,0.027247092931058054,64
8,16,0.5,0.5,1.4142135623730951,0.48488042273613463,0.4813723695778229,0.4883091959164324,64
8,16,0.75,0.75,2.121320343559643,0.21477560171955917,0.21318330523614593,0.2163657626994798,64
8,16,1.0,1.0,2.8284271247461903,0.12128560057123332,0.12037655979150846,0.12221734062352758,64
8,16,1.25,1.25,3.5355339059327378,0.07734012382596504,0.07678134359585981,0.07788932649828006,64
8,16,1.5,1.5,4.242640687119286,0.05400362798365779,0.05356444468989885,0.05444507363247049,64
8,16,1.75,1.75,4.949747468305833,0.0397411800057528,0.039445554560920935,0.04003843494266925,64
8,16,2.0,2.0,5.656854249492381,0.03042862766431375,0.030246172926358148,0.030614567386273835,64
8,16,3.0,3.0,8.485281374238571,0.013490621024354279,0.013398073255597092,0.01358435669299677,64
8,64,0.5,0.5,1.4142135623730951,0.4850345755629557,0.4818695875142361,0.4882505282717267,64
8,64,0.75,0.75,2.121320343559643,0.21393043579291152,0.21252229473342185,0.21536253192996074,64
8,64,1.0,1.0,2.8284271247461903,0.12132162007640396,0.12050246752998431,0.12213372406832296,64
8,64,1.25,1.25,3.5355339059327378,0.0774282988097294,0.07695577372037139,0.07791288423563579,64
8,64,1.5,1.5,4.242640687119286,0.05405890832044179,0.05369753756168616,0.05440819257168655,64
8,64,1.75,1.75,4.949747468305833,0.03958153186073582,0.03934297740679676,0.03981965306618894,64
8,64,2.0,2.0,5.656854249492381,0.03038589826547449,0.03021349438797593,0.030560845190972956,64
8,64,3.0,3.0,8.485281374238571,0.013422363775982913,0.013332995252635422,0.013515571564881389,64
