tag,env,mode,seed,d,B,epoch,minibatch,eta,eta_src,n_mean_v,n_mean_ubar,n_mean_c,n_mean_ubar_raw,R_batch_action,cos_meanv_meanc,clip_rate,task,arm,pad,condition
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,43,0.0010394130367785692,measured,0.222903340460537,0.05656740398949603,0.20338586802743375,0.010844878600286387,0.27812848816805597,0.9689101659638764,0.05342864990234375,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,44,0.0010394130367785692,measured,0.256710900514896,0.05122322595001478,0.2379219916620966,0.010844878600286387,0.21529420459184845,0.9814104367638902,0.053188323974609375,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,45,0.0010394130367785692,measured,0.2654703956059368,0.060662321207518674,0.24655103436214085,0.010844878600286387,0.24604366947481618,0.9746228155558442,0.059200286865234375,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,46,0.0010394130367785692,measured,0.2531335082259108,0.056559329011593384,0.2388654283856635,0.010844878600286387,0.2367832356218496,0.975230403291855,0.052555084228515625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,47,0.0010394130367785692,measured,0.23366831803041546,0.05366795573640773,0.21623199900801263,0.010844878600286387,0.2481961780974463,0.9745062411845632,0.055103302001953125,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,48,0.0010394130367785692,measured,0.26350626085068213,0.059870875813473085,0.24358998131715012,0.010844878600286387,0.24578546083665243,0.9751675613058459,0.054386138916015625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,49,0.0010394130367785692,measured,0.24446404060967422,0.057520433372805206,0.22747465424325222,0.010844878600286387,0.25286524146572525,0.9728466548240606,0.0544586181640625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,50,0.0010394130367785692,measured,0.30586241445361806,0.049812255835241244,0.28874891699767846,0.010844878600286387,0.17251062394623362,0.9876106632317971,0.05104827880859375,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,51,0.0010394130367785692,measured,0.27760669127461673,0.05224120591088041,0.25765205784407047,0.010844878600286387,0.20275873729793276,0.9837055175118672,0.05377197265625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,52,0.0010394130367785692,measured,0.2661980109683487,0.05385944663279113,0.24316039250083196,0.010844878600286387,0.22149761348318828,0.9816920160952113,0.051914215087890625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,53,0.0010394130367785692,measured,0.26991492343689527,0.053125809867602534,0.2465115616362364,0.010844878600286387,0.2155104187193535,0.9829070349801053,0.051074981689453125,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,54,0.0010394130367785692,measured,0.22010516330657853,0.04818102173892015,0.1990035175529854,0.010844878600286387,0.24211140753253102,0.978583806927425,0.051471710205078125,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,55,0.0010394130367785692,measured,0.2594334318924059,0.045447797060825613,0.23867046237199155,0.010844878600286387,0.19042070228950367,0.9868021222066449,0.049716949462890625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,56,0.0010394130367785692,measured,0.25242097147992926,0.049902869295895505,0.23749886010457746,0.010844878600286387,0.21011835287845904,0.9810872513030999,0.053623199462890625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,57,0.0010394130367785692,measured,0.20754306960046515,0.05870214191084535,0.19366132932718966,0.010844878600286387,0.3031175202322675,0.959529851603234,0.05912017822265625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,58,0.0010394130367785692,measured,0.2533091434117802,0.04827220635432304,0.23553872216607835,0.010844878600286387,0.20494382371694012,0.9831186791426754,0.0499420166015625,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,59,0.0010394130367785692,measured,0.24039611839913883,0.05710591266036629,0.22111016521958363,0.010844878600286387,0.25826905155353835,0.9728229682900877,0.054485321044921875,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,60,0.0010394130367785692,measured,0.2536319415102494,0.04973399419201784,0.23586112121728425,0.010844878600286387,0.21086134897997932,0.9819659053306165,0.0525360107421875,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,61,0.0010394130367785692,measured,0.23575046868716318,0.052014535483689735,0.21637349834687258,0.010844878600286387,0.24039235803297787,0.977160969381204,0.0521087646484375,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,62,0.0010394130367785692,measured,0.24256969481623777,0.055469231132776124,0.21957345374513837,0.010844878600286387,0.25262266538334516,0.9760803675644647,0.05463409423828125,hopper,B,0,hopper
HopperHop_weighted_mle_s101_final,HopperHop,weighted_mle,101,4,2048,0,63,0.0010394130367785692,measured,0.27095305201841163,0.055241118783442976,0.25155293114556754,0.010844878600286387,0.219600378066184,0.9803751877016664,0.0548248291015625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,0,0.0012306231074035168,measured,0.17320108574317017,0.006452750358726373,0.17170029672867498,0.007021725124768421,0.03758147470697495,0.9993378047980156,0.002956390380859375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,1,0.0012306231074035168,measured,0.20239419907561199,0.006656984407867058,0.20125856399913944,0.007021725124768421,0.03307677584275343,0.9994718633949283,0.003047943115234375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,2,0.0012306231074035168,measured,0.23074279536383802,0.00618039391751166,0.22995343823806308,0.007021725124768421,0.0268767188907453,0.9996459280616622,0.003185272216796875,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,3,0.0012306231074035168,measured,0.21026069792574378,0.0064846406097912625,0.2088850568774364,0.007021725124768421,0.031044061775874616,0.9995428291789029,0.002696990966796875,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,4,0.0012306231074035168,measured,0.20412163403845376,0.006762983718802804,0.20334674493364488,0.007021725124768421,0.033258381986770474,0.9994562726201246,0.002841949462890625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,5,0.0012306231074035168,measured,0.19883104754845912,0.006200194442359113,0.1975102125178452,0.007021725124768421,0.03139176634609478,0.9995327639462459,0.003143310546875,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,6,0.0012306231074035168,measured,0.2008537853815319,0.006731828111278025,0.20030847142896133,0.007021725124768421,0.03360730608756023,0.9994405032979441,0.0033111572265625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,7,0.0012306231074035168,measured,0.2027453323286832,0.006392920171336836,0.200997145693263,0.007021725124768421,0.03180602465400735,0.9995360475140544,0.003002166748046875,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,8,0.0012306231074035168,measured,0.20126897201146607,0.006547182719149469,0.20096496582284779,0.007021725124768421,0.03257872680598609,0.999471257305439,0.00333404541015625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,9,0.0012306231074035168,measured,0.21458717300341296,0.006030972049378939,0.21419673837060943,0.007021725124768421,0.028156227285383868,0.9996059928956623,0.00302886962890625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,10,0.0012306231074035168,measured,0.20055178510391777,0.0061178997128509965,0.19973691125638646,0.007021725124768421,0.030629790329376343,0.9995411022762124,0.003269195556640625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,11,0.0012306231074035168,measured,0.2266702138775947,0.0064101768548131925,0.22580374664700795,0.007021725124768421,0.02838826613805322,0.9996059276047147,0.0034637451171875,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,12,0.0012306231074035168,measured,0.2069627502212258,0.006049269571567502,0.20524500442512855,0.007021725124768421,0.029473407104262776,0.99960399552915,0.002960205078125,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,13,0.0012306231074035168,measured,0.21350901425965063,0.006523178819835257,0.2133299428253567,0.007021725124768421,0.0305778866923754,0.99953324053075,0.003139495849609375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,14,0.0012306231074035168,measured,0.18863031919668086,0.006390795177951734,0.18749323089910258,0.007021725124768421,0.03408547149820457,0.9994408714889733,0.00293731689453125,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,15,0.0012306231074035168,measured,0.20874086987722654,0.005770232657270917,0.20729848369004167,0.007021725124768421,0.027835382847618363,0.9996393123950515,0.003513336181640625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,16,0.0012306231074035168,measured,0.20204521478489273,0.00612646772213601,0.20075384614042113,0.007021725124768421,0.030517311821862764,0.9995578799735363,0.003177642822265625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,17,0.0012306231074035168,measured,0.21990733353870648,0.006377729540803266,0.21923545249881216,0.007021725124768421,0.02909077646011076,0.99958283787582,0.0029144287109375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,18,0.0012306231074035168,measured,0.21354612729899414,0.00616801791042821,0.21254019393300166,0.007021725124768421,0.029020477474220773,0.9995920370083528,0.003261566162109375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,19,0.0012306231074035168,measured,0.20831133990943257,0.006650390750741845,0.20663791479743066,0.007021725124768421,0.03218378755529502,0.9995187905051659,0.0034027099609375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,20,0.0012306231074035168,measured,0.20070082726929983,0.0065862114671184245,0.19928314681372666,0.007021725124768421,0.033049515588197825,0.9994828475202837,0.003021240234375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,21,0.0012306231074035168,measured,0.18722537925335933,0.006485347943181169,0.18675514601823923,0.007021725124768421,0.03472647518110724,0.9994017123403747,0.00344085693359375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,22,0.0012306231074035168,measured,0.20313712227579966,0.00616110340982512,0.20203974589477855,0.007021725124768421,0.030494511772962248,0.9995522249892413,0.003368377685546875,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,23,0.0012306231074035168,measured,0.20181803060716885,0.0063174692390007125,0.20139896228714468,0.007021725124768421,0.03136793341547713,0.9995112082850447,0.0028228759765625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,24,0.0012306231074035168,measured,0.20231478845554796,0.006384092220611265,0.20150888802418784,0.007021725124768421,0.03168144235808238,0.9995081076626101,0.002674102783203125,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,25,0.0012306231074035168,measured,0.23524478383542416,0.006150184238635917,0.23383390273999796,0.007021725124768421,0.02630150789318203,0.9996742833172324,0.002933502197265625,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,26,0.0012306231074035168,measured,0.21106657328771608,0.0064019455640139805,0.2099464947668141,0.007021725124768421,0.030493224338391918,0.9995517047870445,0.00295257568359375,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,27,0.0012306231074035168,measured,0.20149907237374445,0.006223753103729557,0.20161216579618244,0.007021725124768421,0.030869928305767624,0.9995234137542047,0.00372314453125,hopper,B,0,hopper
HopperHop_weighted_mle_s102_final,HopperHop,weighted_mle,102,4,2048,0,28,0.0012306231074035168,measured,0.20041506938775056,0.006323315715734954,0.19904268160058894,0.007021725124768421,0.0317686421065806,0.9995224395550637,0.00316619873046875,hopper,B,0,hopper
