cell,seed,coord,median_sigma,mean_sigma,p95_sigma,max_sigma,sat95,sat99
PW_ent,303,7,0.8073326349258423,0.8562368750572205,1.5233323574066162,2.5334017276763916,0.6328272700430261,0.4679299886510008
PW_ent,303,8,0.7321112155914307,0.8271906971931458,1.5761040449142456,3.149091958999634,0.17923727434133918,0.06621753584244221
PW_ent,303,9,0.64319908618927,0.7637082934379578,1.499789834022522,3.5618643760681152,0.20927906706918167,0.0719894071984552
PW_ent,303,10,0.7320679426193237,0.8894719481468201,1.9912898540496826,7.048163414001465,0.3722610906139207,0.19315915011677617
PW_ent,303,11,0.6649571657180786,0.7855092883110046,1.7212855815887451,2.9274463653564453,0.2044813554271152,0.06528793698157263
PW_ent,303,12,0.40216970443725586,0.4964354932308197,1.12333083152771,6.5631327629089355,0.13207263043531872,0.0392682871824002
PW_ent,303,13,1.0863537788391113,1.8059931993484497,5.26747465133667,18.394155502319336,0.37079911891102973,0.22921281282029282
PW_ent,303,14,0.5842525959014893,0.7481463551521301,1.8614170551300049,4.651561260223389,0.49797240214478644,0.2881749375656446
PW_ent,303,15,0.6783164143562317,0.8909474015235901,2.0454373359680176,6.785055160522461,0.41999032021332955,0.2840966239063251
PW_ent,304,0,0.5405036211013794,0.7240206599235535,1.8441635370254517,4.8988356590271,0.4375905626707481,0.2280795724691885
PW_ent,304,1,0.47671088576316833,0.5333628058433533,0.9134221076965332,3.91583514213562,0.32214682019187424,0.1324734120944523
PW_ent,304,2,1.3437907695770264,2.0253405570983887,6.116371154785156,18.460411071777344,0.3951988466217762,0.26753717845022135
PW_ent,304,3,0.3924146890640259,0.45788058638572693,0.8609116077423096,1.804681658744812,0.1932153560694619,0.0367547914742215
PW_ent,304,4,0.21099376678466797,0.2544550895690918,0.5211824774742126,3.3172621726989746,0.019572782339071698,0.0035623399839829436
PW_ent,304,5,0.4500284194946289,0.5642166137695312,1.3447401523590088,3.5543622970581055,0.4443979076339997,0.3150649382200605
PW_ent,304,6,0.3110700845718384,0.4365334212779999,1.065001130104065,9.086748123168945,0.30467682454025047,0.11771033702464534
PW_ent,304,7,0.6565941572189331,1.1429789066314697,3.932079315185547,16.422929763793945,0.25801588814761334,0.14164702893045195
PW_ent,304,8,0.3610896170139313,0.39346179366111755,0.7138200402259827,2.387134313583374,0.16125874902356305,0.02486161626847015
