ckpt,c,state,state_source,N_state,z2_dim0,z2_dim1,z2_dim2,z2_dim3,z2_dim4,z2_dim5
WML,0.1,5,PW,3209.036301,76.953940,1984.130306,969.732922,699.318545,229.931201,-751.030612
WML,0.1,6,PW,8699.075699,650.433040,7632.370428,-655.607155,-355.826047,0.000000,1427.705433
WML,0.1,7,PW,1207.103173,695.009056,2578.814546,1343.639846,-594.771610,-1151.933317,-1663.655349
WML,0.1,8,PW,3118.840898,1151.195443,0.000000,-14.716126,383.198233,483.567963,1115.595384
WML,0.1,9,PW,1581.842939,-148.886203,-304.369965,655.196743,1777.615974,301.937963,-699.651574
WML,0.1,10,PW,-15406.347808,-4789.695078,-895.125886,-2101.942429,-191.156647,-1427.355980,-6001.071788
WML,0.1,11,PW,-6814.682085,529.210329,11932.966629,-5334.049140,-10979.129475,-11618.038014,8654.357586
WML,0.1,12,PW,-22688.610317,0.000000,0.000000,165.165673,-2983.219041,-2781.503269,-17089.053680
WML,0.1,13,PW,1525.702728,46.332418,918.782138,0.000000,-551.609647,541.881208,570.316612
WML,0.1,14,PW,5654.435698,408.206436,2481.143584,1436.190110,-65.399124,-8.856366,1403.151059
WML,0.1,15,PW,25888.307675,341.286798,1961.036568,-11180.880571,1049.052832,0.000000,33717.812048
WML,0.1,16,PW,29962.701543,27376.764086,2850.047675,-9134.137591,-2934.614197,2190.895254,9613.746316
WML,0.1,17,PW,1800.420278,-181.273952,-38.326868,212.730953,195.754225,1320.458733,291.077187
WML,0.1,18,PW,13721.125663,23841.810535,2505.919906,-228.887407,-9933.442282,1990.737096,-4455.012184
WML,0.1,19,PW,57435.224302,19839.853398,-190.025606,14057.600908,5907.143928,17314.713024,505.938649
WML,0.1,20,PW,9893.559004,-129.303502,4115.058420,-49.305331,443.825059,4564.022053,949.262304
WML,0.1,21,PW,228.414612,249.435629,-231.696719,913.369429,0.000000,-702.693726,0.000000
WML,0.1,22,PW,-5826.469486,-3672.157324,1102.223079,-1901.033602,0.000003,935.759423,-2291.261064
WML,0.1,23,PW,3697.930773,5142.321467,1876.179083,201.768218,-6119.785983,436.218060,2161.229928
WML,0.1,24,PW,-58156.849188,-1750.675805,48893.383738,-8294.861247,-63632.134322,-11654.723413,-21717.838138
WML,0.1,25,PW,-3341.682638,249.893693,-780.490669,-423.601764,-802.071031,-1171.804078,-413.608788
WML,0.1,26,PW,-3082.012175,-2880.045659,0.000000,1451.563688,773.301495,-1405.883746,-1020.947953
WML,0.1,27,PW,-1899.707461,-2167.526050,59.453860,0.000000,-197.737954,28.545312,377.557371
WML,0.1,28,PW,3977.890557,1245.200583,-842.613008,2571.994534,-3172.661059,-947.100730,5123.070238
WML,0.1,29,PW,-747.060117,-712.289804,3189.469736,-2088.700872,104.449250,-213.775054,-1026.213372
WML,0.1,30,PW,-1074.070927,-245.322500,-141.835533,0.000000,-410.034418,-88.791336,-188.087141
WML,0.1,31,PW,-2917.271144,-127.031533,0.000037,8707.655458,-6841.898594,20968.831440,-25624.827952
WML,0.1,32,WML,5219.709802,0.000000,0.000000,-587.326852,6570.499274,-1112.380670,348.918049
WML,0.1,33,WML,196283.410058,-2171.347767,12304.842217,6533.989493,61866.753902,101860.967444,15888.204769
WML,0.1,34,WML,87137.109113,-6017.387565,21543.488532,-903.425548,72847.273895,0.000000,-332.840201
WML,0.1,35,WML,-4315.963993,-1347.683791,-97.129305,-514.819359,-2443.026057,-594.929207,681.623726
WML,0.1,36,WML,97.637873,-1070.361335,1171.620901,0.000000,-1494.053094,3019.948818,-1529.517417
WML,0.1,37,WML,-2144.377112,-23.336192,52.396143,8.452371,-579.974747,542.985480,-2144.900167
WML,0.1,38,WML,-3545.301561,-4022.655922,93.471938,-358.328075,-1449.870645,128.615225,2063.465919
WML,0.1,39,WML,-1819.634177,-250.099078,858.131992,0.000000,0.000000,-209.053834,-2218.613256
WML,0.1,40,WML,-10053.415553,1674.431028,-110.489136,-9624.737462,-897.567840,-918.614923,-176.437220
WML,0.1,41,WML,-1335.035386,-207.863450,317.224350,-751.623963,211.421394,-1065.973170,161.779455
WML,0.1,42,WML,849.078241,124.266647,-180.346641,33.937088,83.886196,418.691978,368.642973
WML,0.1,43,WML,-426.721700,-351.916390,-1051.043382,290.300379,155.350559,296.406165,234.180968
WML,0.1,44,WML,-539.685823,-622.363102,757.187265,-61.808134,-71.288323,-470.827730,-70.585798
WML,0.1,45,WML,6306.136360,-294.613638,498.531150,-290.875069,3682.861754,743.333353,1966.898810
WML,0.1,46,WML,-952.825797,990.904375,540.555545,-1354.214778,0.000000,-1816.461646,686.390707
WML,0.1,47,WML,12761.260673,1445.426626,-2037.568582,-164.349226,-973.919155,6455.084183,8036.586828
WML,0.1,48,WML,4933.468520,258.044636,759.678967,24.456965,-661.518532,155.806136,4397.000348
WML,0.1,49,WML,-1034.777181,-1113.378690,0.000000,134.721012,3.423334,5.051905,-64.594743
WML,0.1,50,WML,-1821.012975,0.000000,-880.600657,547.710036,-1263.445630,-1488.661978,1263.985254
WML,0.1,51,WML,-3034.818673,71.400114,-1424.862056,-2871.593229,19.345986,1986.964180,-816.073670
WML,0.1,52,WML,-80.591877,481.759654,-647.748782,647.433501,-996.117522,860.125203,-426.043930
WML,0.1,53,WML,-4885.147065,-2135.208894,86.346577,-128.838183,-1717.494495,-1272.475819,282.523747
WML,0.1,54,WML,172.902342,310.974437,-653.941102,1178.248704,378.726861,349.287174,-1390.393731
WML,0.1,55,WML,-5502.196036,-1368.296739,1218.004076,4453.464533,-2123.126178,-400.626502,-7281.615226
