condition,task,arm,d,pad,seed,checkpoint,n_states,eta,eta_src,eta_measured,clip_rate,R2_exact,R2_linear,R_exact_med,R_exact_q25,R_exact_q75,R_linear_med,frac_R_gt_05,frac_R_gt_1,frac_R_gt_3,norm_ratio_med,cosine_linear_med,residual_linear_med,cos_v_c_med,cos_ubar_c_med,cross_fraction_med,direction_change_med,frac_cosvc_lt_09,frac_cosvc_lt_05,ubar_raw_rms,ubar_raw_rms_exp,ubar_raw_mean,ubar_raw_mean_exp,ubar_raw_med,ubar_raw_med_exp,ubar_fit_rms,ubar_fit_meanvec_norm,ubar_raw_meanvec_norm,ubar_fit_minus_raw_rms,logit_spread_med,q_sd_med,ess_med,w_max_med,sigma_med,cloud_between_state_sd,cloud_within_state_sd
walker,walker,A,6,0,102,WalkerRun_pathwise_fa_s102_final,2048,0.19432258699268673,recomputed_counterfactual,,0.018229166666666668,0.5661272482982201,0.2252574213309723,0.7225154517490175,0.3671968495045932,1.3494221108354183,0.6515594887757847,0.6357421875,0.361328125,0.09326171875,0.9360287241500309,0.9866955384099564,0.24248308315388695,0.8517240063200587,0.0020161321026274997,0.0004308793744788992,0.14827599367994126,0.59716796875,0.1953125,0.4376340840301606,0.4330127018922193,0.42048847481476265,0.4154188713059804,0.41751899598271425,0.4088138569174514,0.6220299119229543,0.06415191418476365,0.0046301952461485826,0.4529988736385485,0.6499711247826095,0.1263040704383029,23.27715068015832,0.08597494291161098,0.47354163543131106,8.770685543787563,0.7127791011185111
walker,walker,A,6,0,103,WalkerRun_pathwise_fa_s103_final,2048,0.16904298903335582,recomputed_counterfactual,,0.012560526529947916,0.7808514621992823,0.38293640854780114,0.6533842880231591,0.3397107013636789,1.2251777202989897,0.5974953830485568,0.61572265625,0.33154296875,0.06396484375,0.9391021866263612,0.9851651670104726,0.25856435919154874,0.8671299279999836,-0.011353393466931126,-0.0037963515587879433,0.1328700720000165,0.5849609375,0.17138671875,0.43113526652258166,0.4330127018922193,0.4134692743155289,0.4154188713059804,0.40762430300768526,0.4088138569174514,0.8605149795042428,0.08778825526516845,0.007675501953080059,0.7513020991333994,0.6820694148901443,0.115299052621262,22.312083360634517,0.09054536432782637,0.44599049933414525,4.760834368562185,0.5976530060450576
walker,walker,A,6,0,104,WalkerRun_pathwise_fa_s104_final,2048,0.16947816272286165,recomputed_counterfactual,,0.00843048095703125,0.603945569266615,0.24735583961153265,0.6990973657313181,0.357244848028091,1.3109237343916182,0.6466292002875422,0.6416015625,0.357421875,0.0654296875,0.9345244384739291,0.9861862545436317,0.24625866003523833,0.8543554286249119,-0.00019016154658257976,-0.00011954739996399876,0.14564457137508813,0.58740234375,0.16796875,0.4359505197773508,0.4330127018922193,0.41891144639942046,0.4154188713059804,0.4118061716886383,0.4088138569174514,0.6474935283737171,0.03677967568586526,0.013231274471186726,0.4749428058152177,0.6868954652144131,0.11641378142720424,22.7927729603202,0.08675121679531164,0.44605658840718015,1.9155730284521884,0.43380308602949125
walker,walker,A,6,0,105,WalkerRun_pathwise_fa_s105_final,2048,0.19150641973749194,recomputed_counterfactual,,0.0417633056640625,0.8851190425483286,0.45057979411743476,0.7763053345110013,0.36880125709378103,1.7932802396211367,0.7154416179905154,0.64306640625,0.4091796875,0.15673828125,0.9393828861622514,0.9826600071158758,0.27841063691715234,0.8208508914346258,-0.01194143725649531,-0.003754929664327475,0.1791491085653742,0.6103515625,0.26708984375,0.4278909721480794,0.4330127018922193,0.41084328842465956,0.4154188713059804,0.4070178049701346,0.4088138569174514,0.9877111832966626,0.264276649930926,0.010990273104668881,0.8909085608548408,0.7187550522906845,0.1376462067324228,22.326447264534664,0.09069163895670473,0.48921732491404757,4.3570852019890145,0.5926752002225485
walker,walker,A,6,0,106,WalkerRun_pathwise_fa_s106_final,2048,0.295911076703408,recomputed_counterfactual,,0.023534138997395832,2.2760443002617894,0.784830577899263,0.7650919212739881,0.3685821244530076,1.7235140491329575,0.6783827981325921,0.640625,0.40673828125,0.1416015625,0.9294470919233202,0.9884413046052613,0.2481120553911475,0.8349042942341263,-0.0053097070321551885,-0.0007508318965229568,0.16509570576587373,0.60595703125,0.23876953125,0.4368544836521601,0.4330127018922193,0.4187125974547624,0.4154188713059804,0.4152671608208347,0.4088138569174514,2.3937075652796116,0.49227866792947556,0.008232529964509848,2.3512581180356915,0.6793670582187296,0.2010322376743311,22.843725320519255,0.0837249730843863,0.46801394421893916,14.900749729908068,1.187958716552908
walker,walker,A,6,0,107,WalkerRun_pathwise_fa_s107_final,2048,0.1636901111354445,recomputed_counterfactual,,0.006121317545572917,0.6623884970196585,0.28892064175743926,0.6071374802456719,0.3431445835445105,1.0575674554336003,0.5572959234207332,0.58642578125,0.2734375,0.03662109375,0.9407870039410604,0.9821981092129324,0.28145390558907313,0.8768786866277367,-0.028055618686740134,-0.01856193344260428,0.12312131337226334,0.5546875,0.12548828125,0.42633166983125304,0.4330127018922193,0.40850789262454645,0.4154188713059804,0.40089470695931273,0.4088138569174514,0.7183062425856037,0.040738119488469934,0.006031501169140625,0.5899008166484385,0.7523865342745573,0.12315823541221449,20.892303946026026,0.09927213325986864,0.4770072867468093,0.9252395743344816,0.37877214438353796
walker,walker,A,6,0,108,WalkerRun_pathwise_fa_s108_final,2048,0.4649478241615765,recomputed_counterfactual,,0.028063456217447918,0.7607293417391038,0.3322056227463606,0.9223359422266044,0.3841805207132636,2.5063877671576096,0.9296925412109369,0.666015625,0.48095703125,0.21240234375,0.979792801274162,0.9910623350746226,0.20846387214837875,0.789214918069298,0.02268006953516618,0.006353547271352382,0.21078508193070195,0.64453125,0.2900390625,0.43421839470601337,0.4330127018922193,0.41642954197353843,0.4154188713059804,0.4094952988670221,0.4088138569174514,0.816699626874963,0.0938729136118241,0.014760278646467439,0.7025121118978616,0.5087929558149835,0.23656217775491345,25.711176225943937,0.07141087844012728,0.5364715048003548,9.738000693515518,1.3009904434084163
walker,walker,B,6,0,101,WalkerRun_weighted_mle_s101_final,2048,0.018737584352493286,measured,0.018737584352493286,0.1483790079752604,1.3763555172432096,0.11080513222081768,0.2200487369345719,0.15490235604547442,0.32168616182441545,0.0388763865089376,0.12109375,0.0615234375,0.03173828125,0.17441498762548724,0.7432782163827203,5.064618552621033,0.9816934385190118,0.025727564748387076,0.009960274122025502,0.018306561480988193,0.12353515625,0.0458984375,0.4325307040516149,0.4330127018922193,0.41546003277782373,0.4154188713059804,0.4107552326412989,0.4088138569174514,2.9939469446141325,0.4536181323921345,0.013694314179047687,2.9728587063542373,15.249567064284895,0.2857400492060417,1.3742703068175326,0.8439632716464285,2.3306899853826475,0.7354684101528396,0.11804351249231891
walker,walker,B,6,0,102,WalkerRun_weighted_mle_s102_final,2048,0.017867879942059517,measured,0.017867879942059517,0.24089813232421875,0.6918925928464261,0.04042085147071289,0.22727723361463703,0.16313631459623698,0.3258572782227772,0.0390353884590933,0.10302734375,0.04248046875,0.0107421875,0.16645225684013204,0.7248639286281551,5.407573011991575,0.9802378381674353,0.01851518240432417,0.007407142736620596,0.019762161832564795,0.10986328125,0.021484375,0.42571068086524877,0.4330127018922193,0.40938044725026884,0.4154188713059804,0.40257967533121897,0.4088138569174514,1.382985918568412,0.16876060767408252,0.007289505919197193,1.3505450217152966,15.539252866700185,0.27765350461150307,1.3331636487514493,0.8568948180333541,3.841573105565388,0.6669567776307181,0.1371841988617307
walker,walker,B,6,0,103,WalkerRun_weighted_mle_s103_final,2048,0.02447543293237686,measured,0.02447543293237686,0.1484196980794271,1.110058625289396,0.06571170253199357,0.2207897777728989,0.1568872920914864,0.3298827351149399,0.040410112137525975,0.12890625,0.0712890625,0.03271484375,0.1758761260464204,0.7520712056954025,4.9931288791694755,0.9810135155097095,0.020584148250688442,0.007551752921714887,0.018986484490290445,0.1279296875,0.05126953125,0.4327259701258729,0.4330127018922193,0.4150992984000006,0.4154188713059804,0.40796821190489935,0.4088138569174514,2.438304678687638,0.21079221453128258,0.006852520199141188,2.413484899805763,14.950940751309373,0.36593074763461286,1.3471566776991366,0.8546171674319732,2.1123011930993023,1.5308638508736503,0.14496398391465423
