task,arm,seed,M,eta,gate_open_frac,A_open,B_open,net_open,A_pooled,B_pooled,net_pooled,A_pred_pooled,gnorm,sigma,sig_star,curv_pooled,abs_curv,frac_curv_pos,ess,kl_med,spearman_A_dmu,spearman_A_Apred,slope_A_on_Apred
walker,PW_ent,308,32,0.4805128523371559,0.029296875,0.08893130719661713,0.04210472106933594,0.08825022727251053,0.30336838960647583,-0.6986219882965088,-0.07436034828424454,0.22978124022483826,0.4602985382080078,0.4377896189689636,0.5277441143989563,0.09722188860177994,0.18476398289203644,0.728515625,28.211795806884766,0.35896357893943787,1.0,0.6884424424359987,0.004006450530141592
walker,WML_noent,301,16,1.0013502782273116,0.0,nan,nan,nan,0.4250909090042114,-1.3469533920288086,-0.5673936605453491,0.6835763454437256,0.04827577993273735,6.156764984130859,14.925365447998047,-0.0950213223695755,1.8494713306427002,0.455078125,15.875741958618164,0.629919171333313,1.0,0.4768846345315343,2.2669062182956168e-09
walker,WML_noent,301,32,1.3153136780705896,0.05078125,0.03382888436317444,-0.13649201393127441,-0.10976452380418777,0.2458740770816803,-0.8022162914276123,-0.2469877451658249,0.3961871564388275,0.04827577993273735,6.156764984130859,14.129840850830078,-0.08842633664608002,1.6045947074890137,0.45703125,31.82600212097168,0.27469485998153687,1.0,0.5105666027225598,4.431171873875428e-09
walker,WML_noent,302,16,0.6753101798805837,0.001953125,0.022288957610726357,0.44658851623535156,0.4688774645328522,0.4207093119621277,-1.2141215801239014,-0.3771829903125763,2.9125499725341797,0.015017972327768803,8.23162841796875,30.691997528076172,0.10438130795955658,2.9936752319335938,0.552734375,15.97475814819336,0.6147232055664062,1.0,0.340003565563452,7.245240407627307e-09
walker,WML_noent,302,32,1.052713943308926,0.052734375,0.06294479966163635,0.1719651222229004,0.24862438440322876,0.22344815731048584,-0.7391951084136963,-0.18274064362049103,1.1985585689544678,0.015017972327768803,8.23162841796875,35.17552947998047,0.09656146168708801,2.606977939605713,0.56640625,31.9752254486084,0.26377537846565247,1.0,0.40660646693789265,1.2214692368672786e-08
walker,WML_noent,303,16,0.5725193379901529,0.005859375,0.042901378124952316,0.0037603378295898438,0.06946944445371628,0.4624537229537964,-1.1061241626739502,-0.3450872004032135,1.7513232231140137,0.018874458968639374,5.668673515319824,20.104320526123047,0.012620418332517147,1.6944808959960938,0.51171875,15.935478210449219,0.623815655708313,1.0,0.2972575738718944,2.1163334973373082e-11
walker,WML_noent,303,32,0.9042873822184401,0.060546875,0.05855743587017059,-0.028717041015625,0.26478615403175354,0.21401621401309967,-0.687218189239502,-0.1999989151954651,0.7019944787025452,0.018874458968639374,5.668673515319824,22.448623657226562,0.004494640976190567,1.6187652349472046,0.50390625,31.947105407714844,0.2577756643295288,1.0,0.3380228360570376,3.649362756430463e-11
walker,WML_noent,304,16,0.03456047240274928,0.001953125,0.028285706415772438,0.6493101119995117,0.6775957942008972,0.4870733618736267,-1.3330333232879639,-0.47481513023376465,112.70157623291016,0.006706316955387592,8.639747619628906,3.7416534423828125,0.3078005909919739,0.7595921158790588,0.736328125,12.755367279052734,0.7630614042282104,1.0,0.15792602939998399,3.5890973353047695e-13
walker,WML_noent,304,32,0.04503832498002971,0.0234375,0.06022873520851135,-0.22947454452514648,-0.17779847979545593,0.24661684036254883,-0.6446928977966309,-0.18960215151309967,66.36282348632812,0.006706316955387592,8.639747619628906,3.302927255630493,0.3189670145511627,0.6844079494476318,0.7421875,27.564598083496094,0.3310841917991638,1.0,0.14357982212952472,7.132953217881335e-14
walker,WML_noent,305,16,0.3263031279260654,0.00390625,0.10664869844913483,-0.6454730033874512,-0.5388243198394775,0.3922498822212219,-1.1169509887695312,-0.38449639081954956,13.868864059448242,0.019956938922405243,11.37193489074707,10.844627380371094,0.44879379868507385,2.7750394344329834,0.642578125,15.733076095581055,0.6115012168884277,1.0,0.3897644546583353,1.6705139008199588e-11
walker,WML_noent,305,32,0.5918081225444437,0.06640625,0.034416258335113525,0.2448432445526123,0.3139440715312958,0.20148810744285583,-0.6732017993927002,-0.21481792628765106,4.216203212738037,0.019956938922405243,11.37193489074707,13.602999687194824,0.5196011066436768,2.88179874420166,0.654296875,31.805511474609375,0.2514883577823639,1.0,0.3589548750586512,3.8369724064679644e-11
walker,WML_noent,306,16,1.9868061664885583,0.0,nan,nan,nan,0.48899585008621216,-1.104156255722046,-0.13915883004665375,0.33246874809265137,0.116421639919281,4.614535808563232,12.87604808807373,0.3114355802536011,3.0811760425567627,0.646484375,15.8657808303833,0.7745870351791382,1.0,0.4221949887561369,1.025860063563755e-09
walker,WML_noent,306,32,2.519826395559558,0.044921875,0.050140444189310074,0.15140342712402344,0.20489239692687988,0.24924466013908386,-0.8030879497528076,-0.121132031083107,0.20669052004814148,0.116421639919281,4.614535808563232,11.077973365783691,0.368303120136261,3.0564663410186768,0.646484375,31.718461990356445,0.3025815188884735,1.0,0.471693825030613,1.3562113931886444e-10
walker,WML_noent,307,16,0.4463842025384762,0.00390625,0.07175412029027939,-0.9053628444671631,-0.8336087465286255,0.4059339165687561,-1.0367653369903564,-0.1973288208246231,0.6758384108543396,0.018685931339859962,3.713552951812744,14.788750648498535,0.30712637305259705,0.8382439613342285,0.728515625,15.934664726257324,0.6293948888778687,1.0,0.46385638039161836,1.0196762900704925e-07
walker,WML_noent,307,32,0.68249100409445,0.080078125,0.05079476535320282,0.16976261138916016,0.22218851745128632,0.2086755335330963,-0.6256103515625,-0.16209590435028076,0.2891123294830322,0.018685931339859962,3.713552951812744,16.382875442504883,0.2771844267845154,0.7911789417266846,0.724609375,31.937694549560547,0.26946428418159485,1.0,0.4760369638422541,3.0483525392810407e-07
walker,WML_noent,308,16,0.03963396575347818,0.0,nan,nan,nan,0.6070296764373779,-1.5164871215820312,-0.4171537756919861,3345.191650390625,0.013366760686039925,18.206871032714844,2.3046741485595703,0.9034056663513184,2.95107364654541,0.734375,10.876636505126953,0.9905751347541809,1.0,-0.06770815451871688,1.2030971704990456e-11
walker,WML_noent,308,32,0.04557752436234248,0.00390625,0.16629499197006226,0.3813505172729492,0.5476455092430115,0.3884202837944031,-1.0248141288757324,-0.4099578261375427,2529.61572265625,0.013366760686039925,18.206871032714844,1.828894019126892,0.9524582028388977,2.9368247985839844,0.712890625,22.77645492553711,0.5001967549324036,1.0,-0.0943863118126366,7.137576554100411e-12
g1,PW_ent,301,16,0.011164977436607902,0.0,nan,nan,nan,3.1008036136627197,-4.520415306091309,-0.5936699509620667,2.3116304874420166,0.04753371328115463,0.2816789150238037,0.4179023206233978,0.013043886050581932,0.013528777286410332,0.912109375,10.274190902709961,4.5053558349609375,1.0,0.6629042283219464,0.04093922674655914
g1,PW_ent,301,32,0.012551061345043128,0.0,nan,nan,nan,1.6544232368469238,-2.363931655883789,-0.18827572464942932,1.829250693321228,0.04753371328115463,0.2816789150238037,0.3278135359287262,0.013001720421016216,0.013527522794902325,0.92578125,21.64057159423828,1.8715295791625977,1.0,0.731822421350179,0.04622782766819
g1,PW_ent,302,16,0.01088811144625809,0.0,nan,nan,nan,3.0349464416503906,-4.241888046264648,-0.6731272339820862,2.340366840362549,0.04339153319597244,0.2981269955635071,0.4399506449699402,0.01270381547510624,0.013202330097556114,0.912109375,10.206879615783691,4.348763942718506,1.0,0.7256539429338186,0.03502674773335457
g1,PW_ent,302,32,0.011988846892483163,0.0,nan,nan,nan,1.6696946620941162,-2.6985111236572266,-0.5531797409057617,1.9303418397903442,0.04339153319597244,0.2981269955635071,0.3403366804122925,0.012764571234583855,0.013338747434318066,0.94140625,21.376811981201172,1.8723011016845703,1.0,0.720042025011158,0.04430992901325226
g1,PW_ent,303,16,0.009725658243051277,0.0,nan,nan,nan,3.05440616607666,-4.630838394165039,-0.6361210346221924,2.6944565773010254,0.04319494217634201,0.27248048782348633,0.3982234001159668,0.010917941108345985,0.011151534505188465,0.912109375,10.642437934875488,4.442396640777588,1.0,0.7234686495061855,0.06915166229009628
g1,PW_ent,303,32,0.01115018858978693,0.0,nan,nan,nan,1.5591025352478027,-2.7239770889282227,-0.4807644486427307,2.049957275390625,0.04319494217634201,0.27248048782348633,0.3156548738479614,0.010871297679841518,0.011155126616358757,0.935546875,22.416688919067383,1.834451675415039,1.0,0.7175174308488116,0.09509535878896713
g1,PW_ent,304,16,0.016706898200645512,0.0,nan,nan,nan,3.1069586277008057,-4.2034502029418945,-0.353321373462677,2.341315269470215,0.05473393574357033,0.3400349020957947,0.5226415395736694,0.010162709280848503,0.01316862367093563,0.75390625,10.654781341552734,4.306511402130127,1.0,0.7265334426248269,0.04188115522265434
g1,PW_ent,304,32,0.01912783317971751,0.0,nan,nan,nan,1.5895729064941406,-2.1912097930908203,-0.13355720043182373,1.786158561706543,0.05473393574357033,0.3400349020957947,0.42086511850357056,0.010246464051306248,0.012572268024086952,0.8125,22.678308486938477,1.767876148223877,1.0,0.7610390309392202,0.052889250218868256
g1,PW_ent,305,16,0.008575196091648358,0.0,nan,nan,nan,2.9913861751556396,-4.480080604553223,-0.6346520185470581,3.0600528717041016,0.03800967335700989,0.2953246235847473,0.41233041882514954,0.011610498651862144,0.012260755524039268,0.916015625,10.275657653808594,4.472771644592285,1.0,0.7149049493024799,0.010959966108202934
g1,PW_ent,305,32,0.009604329395772479,0.0,nan,nan,nan,1.5659847259521484,-2.76088809967041,-0.583229124546051,2.4393997192382812,0.03800967335700989,0.2953246235847473,0.3188883066177368,0.01128997839987278,0.011450938880443573,0.955078125,20.924152374267578,1.9642672538757324,1.0,0.7389184111820647,0.011882821097970009
g1,PW_ent,306,16,0.01824145333712408,0.0,nan,nan,nan,2.9701671600341797,-4.149930953979492,-0.2634493112564087,2.179872751235962,0.061149612069129944,0.3577996492385864,0.5169002413749695,0.010760662145912647,0.013753106817603111,0.802734375,10.8744478225708,4.199976921081543,1.0,0.7732834512079285,0.037689585238695145
